CME under 5 mortality,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
France,,,,,,,,,,,,,,,,,,65.8,61.3,57.2,53.3,49.7,46.3,43.2,40.2,37.4,34.9,32.7,30.7,28.9,27.3,25.8,24.5,23.5,22.5,21.6,20.7,19.8,19,18.2,17.4,16.8,16.1,15.5,14.9,14.4,13.9,13.4,12.9,12.4,11.9,11.5,11.1,10.8,10.4,10.1,9.8,9.5,9.2,8.8,8.4,8,7.5,7,6.6,6.2,6,5.7,5.5,5.4,5.2,5.1,4.9,4.8,4.6,4.5,4.4,4.4,4.3,4.2,4.1
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.7,127.8,125.1,122.5,119.9,117.4,114.9,112.6,110.2,107.9,105.7,103.5,101.4,99.5,97.8,96.1,94.4,92.8,91.3,89.9,88.6,87.4,86.2,85.2,84.2,83.3,82.4,81.6,80.4,79.3,77.9,76.5,75,73.2,71.1,69.2,67.4,65.6
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,427.6,417.5,405.7,396.6,385.1,375.2,365.1,355.5,346.5,337.1,327.3,318.8,310.2,302.4,293.8,285.9,278.5,271.1,263.6,256.9,249.6,242.2,235.3,228.8,221.8,215.1,208.4,202.9,196.7,191.2,186.3,181.4,177.1,172.3,168.4,164.6,161,157.5,153.6,150.3,146.7,143.3,139.9,136.7,133.5,130.3,127.5,124.3,121.6,118.8,116.1,113.2,110.5,108.3,105.6,102.6,100.6
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,49.8,48.4,46.9,45.5,44,42.8,41.4,40,38.8,37.2,35.7,34.2,32.6,31.3,30.1,28.7,27.5,26.4,25.4,24.3,23.4,22.3,21.5,20.5
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,28,26.9,25.8,24.8,23.6,22.6,21.6,20.6,19.4,18.3,17.1,16,15,14.1,13.3,12.5,11.8,11.2,10.6,10.1,9.5,9,8.5,8.1,7.6,7.2,6.8,6.5,6.2,6,5.7,5.6,5.4,5.2,5.1,5,4.9,4.7,4.6,4.5,4.4,4.2,4.1,4
Ghana,381.2,373.2,365.9,358.7,351.4,345.2,338.2,331.3,325,318.6,312.4,306.2,300.1,294.7,288.5,282.9,277.6,272,267,261.8,256.7,251.6,246.9,242.1,237.3,232.6,228,223.4,219.4,215.2,211,207.6,203.3,199.5,196.2,193.2,190.6,187.8,185.3,183,180.6,178.1,175.3,172.7,170,167.4,164.7,161.5,158.7,155.1,153.4,151.9,150.5,148.3,144.9,140.7,135.2,129.8,124.8,120.9,117.9,114.8,112.7,111.1,109.2,107.5,105.5,103.3,101.1,98.7,96.8,94.6,92.4,90.8,88.4,86.5,84.6,83,81,79.6,77.6
Greece,,,,,,,,,,,,,,,,,,,,,,,,63.2,61.8,60.6,59.2,57.8,56.6,55.4,53.9,52.3,50.7,49.2,47.7,45.9,43.8,41.7,39.7,38,36.3,34.8,33.2,32,30.8,29.6,28.1,26.5,24.9,23.4,22,20.8,19.5,18.4,17.3,16.3,15.3,14.3,13.5,12.7,12.1,11.5,11,10.5,10.1,9.7,9.2,8.7,8.2,7.7,7.2,6.8,6.3,5.9,5.5,5.3,5.1,4.9,4.7,4.6,4.4
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,23.9,23.1,22.4,21.7,21,20.3,19.7,19.1,18.6,18.1,17.6,16.9,16.5,16.1,15.7,15.5,15.1,14.9,14.7,14.3,14,13.8,13.5,13.3,13.1,12.8
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,226.5,222,218.4,214.6,210.6,207.3,203.4,199.3,195.6,192.1,188.3,184.7,180.2,176.4,172.4,168.3,163.9,159.6,155.5,152.1,148.1,144.3,140.1,135.5,130.5,125.4,120.1,114.4,108.8,102.7,97.4,92.2,87.3,82.5,78,73.6,69.6,65.9,62.6,59.6,57,54.6,52.4,50.3,48.2,46.2,44.4,42.5,40.7,39.2,37.6,36.1,34.4,33.1,31.6,30.4
Guinea,,,,,,390.9,388,385,382.7,379.6,377,373.5,371.2,368.4,365.3,362.8,360.1,357.5,354.8,352.1,349.6,347,344.1,341.7,339.2,336.6,334.5,331.7,329.6,327.5,325.5,324,322.4,320.7,320.5,319.1,319.1,317.4,317.3,316.3,315.2,312.3,308.6,305.1,300.9,295.7,291.1,285.7,281.5,276.4,271.9,267.1,262.7,257.6,252.5,247.4,242.8,237.7,232.9,228.2,223.3,218.5,213.3,207.4,201.6,196,190.4,184.5,179,174.5,169,164,159.6,154.4,150.1,145.3,141.6,137.4,133.3,129.8,125.8
Guinea-Bissau,,,,,,290.7,288.6,286.6,286.2,284.6,282.7,281.5,279.4,277.3,276,274.2,273.2,271.6,271,268.9,266.9,266,264.8,262.9,261.5,260.4,258.8,257.4,255.2,254.2,253.2,251,250.9,249.3,248.3,247.1,245.8,244,243.4,242.2,241.7,241.6,241.3,239.7,238.8,236.9,236.4,235.3,234.5,232.8,231.4,228.6,227.4,224.8,223.1,221.2,218.1,215.3,213.7,210.4,207.6,206.3,202.5,200.5,198.9,196.4,193.2,191.1,188.2,185.8,183.6,180.6,178.1,175.7,172.8,172.2,169.3,166.4,164.5,161.7,160.6
Guyana,,,,,,,,,,,,,,,,,,121.6,118.4,116.2,114.3,111.4,108.8,106.7,104.2,102.1,100,98,96.2,94.4,92.3,90.9,89.3,87.5,85.6,84.1,82.4,80.8,79,77.5,75.8,74.5,73,71.9,70.7,70,69.7,69.1,68.8,68.6,67.9,67.4,67.2,66.6,66.3,66,65.6,65.1,64.2,63,61.5,60.3,59,57.3,56,54.4,53.1,51.7,50.4,49.1,47.9,46.6,45.3,43.9,42.7,40.9,40.3,39.1,38.3,37,35.9
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,270.3,266.2,262.7,259.9,256.1,253.7,250.9,246.5,244.2,240.4,236.9,233.9,231.2,228.5,225.5,222.2,219.2,215.6,211.7,207.1,201.9,197.7,193.7,188.5,183.8,178.9,174.5,169.8,165.3,160.6,156,151.7,147.6,143,138.3,133.9,129.4,125.1,120.9,117,112.8,109.1,105.5,102,98.5,95.3,92.1,88.9,85.8,83,80,77.5,74.8,160.7,70
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,219.9,215,210.4,205.7,200.6,196.2,191.8,186.7,182.4,178.4,173.7,168.4,161.9,156.1,149,141.5,134.4,127.4,121.5,115.7,110.2,104.9,100.1,95,90.3,85.8,81.4,77,72.8,68.5,64.7,61.1,57.8,55,52.5,50.5,48.4,46.4,44.4,42.4,40.3,38.5,36.9,35,33.5,32.1,30.7,29.3,27.9,26.7,25.6,24.3,23.3,22.2,21.4
Hungary,,,,,,,,,,,,,,,,,,,,,,,81.7,78.4,74.9,71.8,68.6,65.7,62.8,60.1,57.4,54.9,52.7,51,49.3,47.8,46.4,45.2,44.1,43.4,42.7,41.8,40.5,38.8,36.9,34.8,32.7,30.5,28.5,26.9,25.8,25.1,24.4,23.6,22.9,22.2,21.5,20.7,19.7,18.7,17.7,16.8,15.9,15,14.1,13.4,12.7,12.1,11.5,11,10.4,9.8,9.3,8.8,8.4,7.9,7.6,7.2,6.9,6.6,6.3
Iceland,,,,,,,,,,,,,,,,,,,,,27.6,26.9,26.1,25.4,24.6,24,23.3,22.6,22,21.3,20.7,20.1,19.6,19.1,18.5,18,17.4,16.9,16.3,15.7,15,14.4,13.7,13,12.4,11.7,11.1,10.6,10,9.5,9.1,8.7,8.3,7.9,7.6,7.3,7,6.8,6.5,6.3,6.1,5.9,5.6,5.3,5,4.8,4.5,4.3,4.1,3.9,3.7,3.6,3.4,3.3,3.1,3,2.9,2.8,2.7,2.6,2.5
India,,,,,,,,,,,,,,,,,,,,,,,,,,261.8,256.2,250.3,244.3,239,233.6,228.1,222.9,217.8,212.6,207.8,203,198.2,193.7,189.2,184.9,180.9,176.4,172,167.5,163.2,159,155,151,147.3,143.5,139.6,135.8,132.1,128.8,125.6,122.5,119.7,116.8,114.2,111.5,109,106.6,104,101.4,98.5,95.8,93.2,90.5,87.7,85,82.4,79.6,77.2,74.6,72.3,70,67.7,65.5,63.4,61.3
Indonesia,,,,,,,,,,,,,,,,,,,,279.5,272.7,265.5,258.5,252.4,245.7,239.9,233.6,228,222.1,216.4,210.8,204.9,199.7,195.4,191.3,186.8,181.1,175.2,169.1,163.5,157.5,152.1,147.3,142.7,138.5,134.1,130.1,126.4,123.2,119.9,116.1,112.1,108.1,104.3,100.3,96.5,92.7,88.7,85.1,81.6,78,74.5,71.1,68.3,65.3,62.6,59.4,56.7,54.5,52.5,50.5,48.2,46,43.9,42,40.1,38.2,36.8,34.8,33.3,31.8
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,247,231.4,216,202.6,189.3,177.8,166.5,155.9,146,137.4,129.3,122.3,114.4,106.5,98.8,92.7,86.5,81.7,77.5,73.4,70,66.8,63.7,61.1,58.5,56.2,54.1,51.8,49.3,47.7,46.9,46.4,45.7,44,41.4,38.8,37,34.9,33.7,31.8,30.5,28.5,27.3,26.2,25
Iraq,,,,,,,,,,,,,,,,472.9,446.3,420.9,397.9,375.1,354,333.7,316.3,298.5,281.5,266.6,251.9,237.6,225.4,213,201.6,190.4,179.7,168.7,158.3,147.9,137.4,128.6,121.2,114.6,108.9,104.6,99.9,95.4,90.8,86.6,82.3,77.8,73.4,68.8,64.8,60.6,57.4,54.5,52.1,50.2,48.9,47.6,46.6,46,45.5,45.3,45.3,45.1,44.8,44.5,44,43.7,43.3,42.8,42.3,42,41.5,41,40.5,40.1,39.7,39.2,38.9,38.6,37.9
Ireland,,,,,,,,,,,,,,,,,,59.3,56.6,54.1,51.7,49.4,47.3,45.3,43.3,41.4,39.7,38.2,36.7,35.3,33.9,32.5,31.1,29.7,28.3,27,25.7,24.5,23.5,22.7,22,21.4,20.8,20.2,19.5,18.6,17.6,16.5,15.4,14.4,13.5,12.6,11.9,11.3,10.9,10.5,10.2,9.8,9.4,9,8.6,8.2,7.8,7.5,7.4,7.3,7.3,7.2,7.2,7,6.7,6.3,5.9,5.6,5.2,5,4.7,4.5,4.3,4.1,4
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,27,25.2,23.6,22.1,20.8,19.5,18.3,17.5,16.6,15.8,15.1,14.4,13.8,13.1,12.6,12,11.5,10.9,10.4,9.8,9.2,8.7,8.3,7.8,7.5,7.2,6.9,6.6,6.4,6.1,5.8,5.6,5.3,5.1,4.9,4.7,4.5,4.3
Italy,,,,,,,,,,,,,,,,,,,88.9,83.7,78.9,74.6,70.7,67,63.7,60.3,57.8,55.6,53.7,51.7,49.6,47.3,45.1,43.2,41.3,39.5,37.8,36.2,34.6,33,31.2,29.2,27.1,25.1,23.2,21.4,19.7,18.4,17.2,16.2,15.2,14.3,13.5,12.8,12.1,11.5,10.9,10.4,10,9.7,9.2,8.8,8.4,7.9,7.5,7,6.6,6.2,5.9,5.6,5.3,5,4.8,4.6,4.5,4.3,4.2,4.1,4,3.9,3.7
Jamaica,,,,,,,,,,,,,,,,145.1,139.6,134.3,130,126.1,121.1,117.3,113.4,109.5,105.9,102.4,99,95.6,92.3,89.1,86.1,83.3,80.3,77.7,75.1,72.6,70.2,67.9,65.8,63.4,61.4,59.4,57.5,55.8,54.3,52.4,50.8,49.6,48.2,46.8,45.4,44.2,42.8,41.3,40.3,39.1,37.8,36.7,35.7,34.5,33.5,32.6,31.6,30.8,29.8,28.8,28,27.2,26.5,25.5,24.8,24.3,23.4,22.6,22.1,21.4,20.7,20.1,19.6,19,18.3
Japan,,,,,,,,,,,,,,,,,,107.1,98,89.8,82.2,75.4,69.3,63.6,58.4,54.1,50.1,46.5,42.9,39.4,36,32.8,29.9,27.2,25,23,21.3,19.9,18.7,17.6,16.6,15.7,14.9,14,13.2,12.5,11.8,11.1,10.5,9.9,9.4,8.9,8.4,8,7.6,7.2,6.9,6.7,6.5,6.4,6.2,6.1,6,5.8,5.6,5.4,5.2,5,4.7,4.5,4.3,4.2,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.4
Jordan,,,,,,,,,,,,,,364.2,348.5,329.9,315.2,299.2,284.1,270.5,257.3,244,231.3,220.2,209.6,198.6,189.1,180.5,171.1,161.9,153.1,144.3,135.9,127.5,120.9,114.6,109.8,105.4,101.1,96.7,92.5,88.3,84.4,80.3,76.2,72.5,69,65.4,62.3,59.2,56.1,53.2,50.4,47.6,44.9,42.5,40.6,39,38,36.7,35.6,34.6,33.5,32.8,32.2,31.2,30.4,29.5,28.8,28,27.2,26.6,25.7,25,24.4,23.7,23.2,22.6,21.8,21.1,20.7
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4,78.6,77,75.3,74.8,73.7,72.5,71.6,70.6,69.6,68.3,67.5,66.3,65.5,64.2,62.9,61.7,60.4,59.4,58.1,57,55.7,54.6,53.3,52,50.6,49.1,47.3,45.7,44.2,42.3,40.7,39.3,37.9,36.4,35.2,33.7,32.8,31.3,30.1,29.2,28.3
Kenya,,,,,,,,,,,,,,,,,,,,,290.5,278.5,267,256.1,245.8,235.7,226.1,216.4,207.3,199.4,192,185.1,179.1,173.3,169.2,165.9,163.6,160.4,158.6,152.9,148.9,145.6,142.9,140.5,135,129.8,122.5,117,112.3,108.3,105.3,102.8,99.8,97.4,95.8,93.5,92.1,92.8,94.4,97.8,102.3,106.7,108.6,110.4,112.2,113.7,114.8,116.3,116.7,113.1,109.2,105.5,101.9,98.3,94.1,90.2,86.5,82.5,79.4,76.1,72.8
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,187.1,182.1,177.4,172.2,167.2,162.8,158.3,154,150,145.5,141.6,137.8,134,130.3,126.6,123,119.8,116.4,113.1,110,107,104,101.1,98.1,95.4,92.6,90,87.6,84.8,82.5,80,77.7,75.6,73.2,71.2,69.2,67.1,65.3,63.3,61.5,59.6,58,56.3,54.8,53.3,51.6,50,48.7,47.4
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,50.7,57.4,64.5,71.3,76.2,78.4,77.3,73.1,66.2,57.7,48.9,41.5,36.1,32.9,31.8,32.1,31.7,33.1,33.3,33.2,33.2
"Korea, Rep.",,,,,,,,,,,,,,,,387.5,357.8,328,302.5,277.2,254.8,235.6,215.7,198.8,182.5,168.4,154.6,141.5,130.2,119.4,109.4,100.3,92.3,85.7,79,73.1,66.3,60.3,54.3,48.7,43.9,39.5,35.9,32.4,29.3,26.5,24,21.5,19.6,17.8,16.2,14.8,13.4,12,10.9,9.9,9.2,8.5,8,7.5,7,6.7,6.4,6.3,6.2,6.1,6,5.9,5.9,5.7,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5,4.9,4.9,4.8
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.2,123.6,115.6,107.6,100.9,94.6,88.5,83,77.8,72.9,68.5,64.3,60.2,56.4,53,50.3,47.6,45.5,43.2,41.1,38.6,36.2,33.7,31.4,29.2,27.2,25.1,23,21.3,19.7,18.5,17.6,16.9,16.2,15.5,15,14.5,14,13.6,13.3,13.1,12.9,12.7,12.5,12.4,12.2,12,11.8,11.7,11.5,11.3,11.2,11,10.9
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.6,143.1,138.7,132.2,128.4,124.1,120.2,115.7,111.7,107.9,104.4,100.9,97.3,93.5,90.2,87.4,85,82.2,79.4,76.1,73.1,70.3,67.4,64.9,62.3,60,57.5,55.2,53.1,51.2,49.1,47.4,45.3,43.5,41.8,40.4,38.7,37.4,35.8,34.5,33.3,31.7,30.6
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7,196.7,193.1,189.9,186.3,182.4,178.9,175.3,171.4,168.2,165,160,154.9,147.7,139,131.2,124.3,116.7,110,103.3,97.5,91.5,86.2,81.3,76.4,71.8,67.6,63.4,59.7,56.1,53,49.6,47,43.9,41.9
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,26.8,25.8,24.7,23.8,22.8,21.9,21,20.2,19.9,19.9,20.2,20.6,21.3,22,22.6,22.9,22.5,21.7,20.6,19.6,18.5,17.3,16.1,15,14.2,13.4,12.6,11.8,11,10.2,9.6,8.9,8.3
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,85.7,83.2,81.5,79.3,77.2,75.2,72.9,71.1,68.7,67.1,65.6,63.7,61.9,60.4,58.7,57,55.7,53.9,52.5,50.8,49.4,47.9,46.9,45.7,45,44,43.1,42.5,41.5,40.3,39.2,38,36.7,35.6,34.5,33.1,32.2,30.3,28.6,27,25.6,24.1,22.6,21.3,19.9,19,17.8,16.6,15.6,14.6,13.7,12.8,12,11.2,10.6,9.9,9.3
Lesotho,,,,,,,,,,,,,,,,,,,,244.4,237.9,231.8,225.9,220.5,215.2,210.1,205.3,200.5,196.1,192.5,190.1,187.7,186.6,185.9,184.8,183.9,182.8,181,179.3,177.2,174.3,170.7,167.1,162.4,154.6,147.3,140,133.4,126.5,120.5,115.2,111.3,107.9,104.3,101.2,98.2,94.2,91.6,89.4,87.5,86.3,85.8,86.9,89.6,94.1,99.5,105.2,110.2,114.3,117.3,119,119.9,120.3,120,118.9,116.4,110.7,98.6,95.8,93,86
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.3,321.3,319.8,319.6,319.1,317.9,312.8,306.7,299.3,292.9,287.3,283.5,279.5,274,267.3,261.8,258.8,256.4,252.8,247.3,241.7,237.9,237.3,234.9,231,226.9,227.7,228.8,232,234.9,238.3,240.3,241.2,241.8,237,232.6,227.7,218.8,208.5,199,186.6,174.3,163.8,153.6,144.1,134.3,126.1,116.8,109.7,103.6,96.4,89.2,83.1,78.3
Libya,,,,,,,,,,,,,,,,,,,,,,,,,371.3,346.6,324.1,305.7,284.9,267.7,249.5,233.9,219.1,205.9,192.6,179.6,168,157.6,147.9,138.5,130.2,121.8,114.5,107.3,100.2,94,88.3,82.8,77.3,72.4,67.7,63.6,60.8,58.3,56.1,53.4,51,48.5,46.2,44.1,42,39.8,37.9,36.3,34.6,33.1,31.4,29.9,28.5,27.1,25.9,24.7,23.6,22.4,21.5,20.5,19.5,18.7,17.7,17,16.2
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,27.9,27,26.3,25.7,25.2,24.8,24.3,24.1,24.2,24.2,23.9,23.5,23,22.4,21.8,21,20.3,19.5,18.7,18,17.4,17.1,17.2,17.4,17.5,17.6,17.3,16.9,16.1,15.1,14.1,13.2,12.4,11.8,11.2,10.8,10.3,9.7,9.1,8.5,7.9,7.3,6.7,6.2,5.7
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,29.5,27.9,26.5,25.1,23.8,22.7,21.5,20.5,19.5,18.5,17.6,16.8,16,15.2,14.5,13.9,13.2,12.8,12.3,11.8,11.4,11,10.5,10,9.4,8.9,8.4,7.9,7.4,7,6.7,6.4,6.1,5.8,5.5,5.2,4.9,4.7,4.6,4.4,4.2,4.1,3.9,3.8,3.6,3.5,3.3,3.2
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7,58.4,55.9,53.7,51.5,49.2,46.9,44.8,42.3,40,37.6,34.8,32,29.2,26.8,24.5,22.4,20.3,18.6,17.2,16.3,15.6,14.9,14.3,13.8,13.3,12.7,12,11.4,10.8,10.2,9.6
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.2,176.3,176.1,175.5,175.5,175.3,175.6,175.4,175.5,175.6,175.5,175.4,175.2,175.1,175,175.6,176.2,177.5,177.3,177.5,177.1,176.2,174.6,171.8,168.7,166,161.2,155.6,150.2,144.2,137.7,131.6,125.2,119.8,114,108.7,104.1,98.9,94.4,90.1,85.8,81.8,77.4,74.2,70.8,67.2,64.3,61.6
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,371.9,366.5,361.2,355.6,350.1,344.5,339,333.6,328,321.5,314,306.3,297.8,288.7,279.9,271.5,263.4,256.3,250.4,245.4,241.2,239.4,237.7,236.2,235,234.4,231,227,222.7,218.5,214,209,203.8,197.7,189,180.3,171.9,164.1,156.6,149.5,142.6,135.9,129,121.8,109.7,102.3,95.4,89,82.6
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,120.6,114.7,108.8,103.3,97.9,93,88,83.8,79.3,75.2,71.3,67.5,64,60.6,57.4,54.4,51.5,48.8,46.1,43.7,41.4,39.2,37.1,35,33,31.1,29.3,27.6,26,24.5,23,21.6,20.4,19.3,18.2,17.2,16.3,15.4,14.6,13.9,13.3,12.7,12.1,11.6,11.1,10.6,10.1,9.7,9.3,8.9,8.5,8.1,7.8,7.4,7.1,6.8,6.5
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.2,371.2,356.4,341.7,328.3,314.8,302,289.8,277.8,266.2,255.1,244.8,234.9,224.9,215.6,206,196.7,187.7,178.6,169.6,161.4,153.6,145.7,138.2,131.4,124.7,119.8,113.8,109.4,105.2,100.5,96.3,92.3,88.2,83.7,77.8,74.1,68.1,59.7,52.7,45.3,38.9,33.9,29.4,25.7,22.3,19.3,16.6,14.4,12.4,10.7
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,449.8,441.6,433.1,425.4,417.4,410.2,402,394.8,387.2,379.8,372.7,365.7,359,352.1,345.5,339.2,332.7,326.5,320.6,314.7,308.6,303.1,297.5,292.2,287.1,281.9,276.9,272,267.2,262,257.3,252.8,248.1,243.5,239.1,234.7,230.6,226.2,222.3,218.2,214.4,210.6,206.7,203,199.5,195.9,192.3,188.8,185.4,182.1,178.9,175.6
Malta,,,,,,,,,,,,,,,,,,,,,,,55.9,53.6,51.4,49.3,47.3,45.4,43.5,41.8,40,38.4,36.8,35.3,33.8,32.4,31.1,29.8,28.5,27.2,25.9,24.6,23.5,22.4,21.4,20.4,19.5,18.6,17.7,16.9,16,15.3,14.7,14.1,13.5,13.1,12.6,12.2,11.7,11.3,10.8,10.4,9.9,9.5,9.2,8.9,8.5,8.2,7.9,7.8,7.5,7.3,7.2,7,6.8,6.6,6.4,6.3,6.2,6.1,5.9
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.5,138.3,134.3,130.2,126.8,122.5,119.1,114.8,111.5,107.5,104.6,101.4,98.1,95.5,92.3,89.2,86.5,83,80.6,78.7,75.8,73.6,70.8,68.8,66.6,64.7,62.1,60.4,58.3,56.5,55.1,53.5,51.9,50.3,48.5,47.3,45.6,44.2,42.9,41.5,39.8,38.8,37.5,36.6,35.3,33.9,33.1,31.7,31.2,29.9,28.8,28.2,27.7,26.2
Mauritania,,,,,,,,,381.1,373.3,365,357.7,349.5,341.7,335.1,327.7,321.1,314.3,307.3,301.3,294.3,288.1,282.5,276.3,271.2,265.5,260.2,254.6,248.7,242.5,236.1,230.4,224.3,219.3,215,210.9,208.2,204.6,200.9,197.4,193.6,189.9,186.5,182.8,179.5,176.7,173.5,169,164.1,158.9,153.4,148.4,144,139.9,136.5,133.5,131.7,128.9,126.4,124.7,123.6,122.9,122.2,121.4,120.6,119.7,119.1,118.7,117.9,117.9,117.2,116.6,116.4,115.9,115.5,114.5,114.3,113.7,113.4,112.9,112.1
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,129,123.4,117.3,112.2,107.4,102.6,98.2,94.2,92.2,90.9,90.6,89.7,88.5,87.6,86.4,84.7,81.3,76.8,72.2,67.5,62.6,57.3,52.1,47.6,43.7,40.1,36.9,34.5,32.6,31.1,29.5,28.2,27,26,25,23.9,23,22.4,22,21.9,21.7,21.6,21.1,20.5,19.6,18.6,17.7,16.9,16.4,16,15.9,15.7,15.6,15.5,15.4,15.2,15.1
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.6,142.1,137.8,133.8,129.9,125.8,122.4,118.5,114.9,111.2,108.1,104.9,101.9,98.2,94.1,89.7,85.7,81.5,77.5,74.2,71.1,68.3,65.7,62.9,60.6,58.4,56.3,54.3,52.4,50.6,48.8,47.2,45,42.8,40.7,38.8,36.6,34.6,32.7,30.8,29.1,27.5,25.9,24.5,23.2,21.9,20.8,19.6,18.6,17.6,16.6,15.7
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6,62.7,61.9,61.3,60.3,59.9,59.3,58.5,57.9,57.2,56.4,55.5,54.8,53.9,53.2,52.4,51.5,50.8,50.1,49.3,48.6,48,47.3,46.6,46,45.3,44.8,44,43.5,42.7,42,41.5
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3,67.7,65.5,63.1,61,59.1,56.9,55,53.1,51.2,49.5,47.9,46.3,44.7,43.3,42,40.4,39.2,37.5,36.3,34.9,33.6,32.2,31.1,30.1,28.8,27.6,26.7,25.6,24.7,23.8,22.9,22,21.1,20.5,19.6,19.1,18.5,17.7,16.8,16.6,16
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.2,7.8,7.4,7.1,6.8,6.5,6.3,6,5.8,5.5,5.3,5.1,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.3,152.5,148.9,145.3,141.8,137.5,133.9,130,126.4,123.1,120,116.9,111.9,106.5,100.9,96.3,91.8,87.3,83.5,79.8,76,72,67.6,63.4,59.4,55.6,52.2,48.8,45.7,42.8,40.1,37.6,34.9,33,30.7
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,19.9,19.3,18.7,18.1,17.6,17.1,16.5,15.9,15.5,15,14.5,14.1,13.8,13.2,12.6,12,11.5,10.9,10.4,9.9,9.4,9,8.5,8,7.6,7.2
Morocco,,,,,,,,,,,,,,,,,,,,,,,242.5,238.4,234.4,230.5,226.7,222.8,219,215.3,211,207.4,203.4,200,196.3,192.9,189,185,181,176.5,173,170.2,167.4,164.3,159.9,155.2,149.3,142.8,136.1,129.3,122.8,116.8,110.8,105.2,100.1,95.8,92,88.3,84.8,81.3,78.2,74.9,71.8,68.5,65.6,62.7,60,57.4,55.1,52.7,50.5,48.5,46.5,44.5,42.6,40.7,39.1,37.4,35.7,34.3,32.8
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.8,289.4,287,284.6,282.2,279.7,277.3,275,272.6,270.4,268.1,266,264,262.2,260.2,257.8,255,251.7,248.2,244.6,241.4,238.8,236.9,235.1,233,230.1,227.5,225.7,224,221.5,217.9,211.8,205.1,198.3,191.3,184,177.7,172.1,165.8,158.9,152.1,145.6,139.3,133.2,125.9,119.3,113.3,108.4,103.1
