Homicide 0-14 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7718488,0.8682989,,,0.7740238,0.8250825,0.7516527,0.7549682,0.7485681,0.795907,0.7434676,1.182054,1.024942,1.386762,1.045966,0.9620366,1.17172,1.404884,1.284378,1.016449,1.289421,1.128805,1.358739,1.04587,1.04296,0.8413882,0.9912167,0.6093954
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5074198,0.4536094,0.4338217,0.3181114,0.5171437,0.551161,0.4004083,0.3830116,0.7431118,0.5212156,0.5856975,0.5430691,0.7627588,0.9798275,0.5337693,0.743482,0.7053347,0.9335684,0.8267162,0.9183714,0.9181724,0.6532184,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,1.289981,,,0.5196368,0.2832864,0.66496,0.1562876,0,0.1624808,0,0,0.2063335,0.8107674,0.3003359,0.1530616,0.2635322,,,,,,0.2529966,0.1819955,0.1751364,0.1879835,0.5506846,0.3647672,0.3517098,0.500363,0.6709397,0.5546978,,,,,,0
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.410125,0.9545257,,,0.4427639,0.7527738,0.7785642,0.9518898,0.4082775,1.346094,0.5935989,0.8660942,0.7037693,0.3761106,0.3587593,0.3633341,0.4847082,0.3607826,0.7193115,0.6916751,0.6027624,0.5957139,0.6590843,0.3898423,0.4885741,0.4204818,0.3302403,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9649771,1.556969,0.1894138,1.654944,1.102827,1.433554,0.5117645,0.353523,1.584713,1.005928,0.541567,0.5211154,1.17013,1.195326,1.997327,1.115384,1.907725,5.846284,0.5129607,1.77289,2.012104,2.132522,1.78574,1.026743,0.8938701,1.334947,1.22778,0.8985204,0.3257385
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7691966,1.408869,,,1.457333,1.694205,0.701929,0.4762845,1.101351,0.3611892,0.6186936,1.344677,0.7383702,1.489186,1.646674,1.384059,1.807072,2.065637,2.044521,1.220514,0.4576842,1.702598,0.231276,1.029309,0.7374468,0.8335931,0.3567453,0.1695574
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2057045,0.2085749,0.6055763,0.1958877,0,0.4037397,0.1981298,0.1986917,0.4169399,0.2170997,0.4092421,0,0.4811414,,,,,
Mauritius,,,,,,,,,,,,0,0.3573378,0.3425995,0,0,0.5722976,0,0.2902521,0.6234502,0,0,0,1.313622,0.3367356,0.6331573,0,0,0.284758,0,0.3094031,0,0.3168376,0,0,0.3010314,0,1.081021,0.6160263,2.061092,0.3367356,1.383564,1.278978,0.9127535,0.6526775,0.3400209,1.397832,0,1.042366,1.7528,0.7079449,0,1.003557,1.066022,0,2.133521,1.509384,1.239744,1.541304
Mexico,,,,,,2.669909,2.206254,2.385645,2.43942,2.298985,2.263318,2.315757,2.362141,1.687247,1.979513,1.730761,1.526358,1.791601,1.758023,0.5766534,1.259677,1.211668,1.173723,0.9350122,1.842618,1.763473,2.013446,1.807162,1.587721,1.693136,1.747461,1.763892,1.748463,1.612025,1.790672,1.863162,1.793047,2.000203,2.394677,2.596599,2.449884,2.552325,2.324764,2.222498,2.204481,2.067589,1.967215,1.706659,1.808903,1.780382,1.493762,1.555303,1.361817,1.269604,1.156471,1.396576,1.294151,0.9470904,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.260581,1.496676,,,1.792163,1.151626,0.8456759,1.527083,1.075821,1.143943,1.003262,1.958063,1.934459,1.809384,2.236609,2.606451,1.469911,2.281338,2.481268,2.351537,1.734449,0.8173316,1.08092,0.7447859,0.8615275,0.7406036,0.6604348,0.4960308
Netherlands,0.1549004,0.2249658,0.2537831,0.2470098,0.2452693,0.2178776,0.0282457,0.2746327,0.2395368,0.2948028,0.3231757,0.2349404,0.1146474,0.1711379,0.3722608,0.1983314,0.3420898,0.1743013,0.3147566,0.4287156,0.2286889,0.3195665,0.3430124,0.2229762,0.3819605,0.3262641,0.3842691,0.7238957,0.4188454,0.5564113,0.3365305,0.3270223,0.1862381,0.4851008,0.4831622,0.53805,0.3006043,0.301147,0.6333458,0.1839847,0.471044,0.4329929,0.571201,0.4266646,0.315981,0.2838376,0.6663102,0.7654033,0.3815342,0.4430735,0.2368849,0.3376833,0.6385929,0.504392,0.4047229,0.7160426,0.5966722,0.5700359,0.4690504
New Zealand,0.8079932,0.1430418,0.2845706,0.572758,0.134305,0.536944,0.6494838,0.7657407,0.9129253,1.017991,1.106393,0.7243328,0.4485596,0.3306779,1.427601,1.200704,0.8060482,0.9967068,0.9056748,1.132927,1.584989,0.2258887,0.9829248,0.7808415,0.8813213,0.643845,1.357583,2.318776,1.515974,1.115804,0.8794104,0.7951381,0.8061425,0.6806458,0.9331052,0.2397676,1.858684,1.039898,1.255764,1.135315,1.037737,0.8424658,1.701247,0.9559565,1.576769,0.9644881,0.8347324,1.418202,1.167904,1.291074,1.16373,0.9324166,0.9436837,0.2334905,1.056963,1.141671,0.9331804,,
Norway,,0.4682841,0.2578707,0.1109075,0.1127901,0.1112744,0.4425851,0.7761238,0.1088877,0.3183317,0.4400379,0.2195651,0.2212456,0.4347629,0.3297718,0.7566302,0,0.4234904,0.640799,0.3226249,0.5194914,0.312181,0.2056107,0.3307751,0.1065766,0.2264377,0.4597868,0.2026591,0.1364076,0.4994789,0.3258391,0.8048163,0.5362867,0.5118884,0.2628676,0.6607049,0.891928,0.357082,0.1172951,0.1199729,0.3733319,0.5942705,0.4823933,0.37471,0.1207187,0,0.5904767,0.456078,0.110543,0.473547,0.7768158,0.4477832,0.4307373,0.706939,0.1226173,0,0.6727079,0.430432,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3668627,0.2494948,0.9573262,0.8322647,0.9349052,0.5717055,,,,,,,0.5520392,1.427021,1.087683,0.319482,0.9478108,0.5290512,0.6286748,1.848253,1.139509,,0.6955972,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4804182,0.5926658,0.7105879,0.6176862,0.6484017,0.5467066,0.485458,0.631089,0.3840514,0.8145901,0.7681662,0.9173555,1.442783,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0615621,0.4812981,,,,0.747601,0.7977285,0.7107148,0.6911491,0.7000995,0.8764843,0.6856934,,,,,
Poland,,,,,,,,,,0.4139291,0.359313,0.3725214,0.4464659,0.256191,0.2917285,0.3409635,0.4016004,0.2468521,0.3394482,0.3523843,0.4369679,0.5620359,0.3209755,0.3944207,0.536651,0.4375294,0.3495792,0.3406402,0.3074986,0.3199833,,,,0.3418921,0.443012,0.3497514,0.4699927,0.355356,0.4375952,0.4211854,0.7376909,0.4766242,0.4976199,0.4259272,0.4811146,0.539915,0.5753853,,,0.6021348,0.4388697,0.424379,0.4389491,0.4512393,0.3033474,0.3455505,0.2744513,0.3068446,0.2569388
Portugal,,,,,,0.3581093,0.4210785,0.2587883,0.3262293,0.1099198,0.267327,0.3124225,0.2420744,0.3624692,0.1932764,0.2570592,0.2515868,0.3313317,0.2706795,0.1941363,0.2666854,0.3199924,0.3462786,0.1654645,0.2468447,0.1939571,0.2952201,0.4002802,0.3425701,0.3677404,0.2510519,0.1156454,0.1324412,0.2190492,0.4524827,0.2276662,0.4413829,0.3446241,0.3694815,0.5804765,0.7065471,0.5287755,0.672742,0.4126742,0.2302231,0.7501842,0.2770388,0.2404886,0.4419217,0.4952218,0.2502618,0.251499,0,0.4224884,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8355858,1.024561,0.5005069,0.6277782,0.646735,0.8164734,0.8610107,0.7314799,1.028368,0.8665217,0.9913789,0.9579916,0.9013021,0.8427444,0.9792293,0.6456174,0.7749395,0.3019182,0.3432401,0.6254197
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.327809,1.503384,1.341768,,,1.09803,1.013837,0.9194226,1.040375,1.121892,1.155731,1.148147,1.462657,2.102414,2.038027,2.049481,1.825495,2.031909,1.857179,2.478223,2.464245,2.477102,2.084,2.153967,1.993815,1.756385,1.527537,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3008031,0.6111444,0.0719671,0.7885341,0.5912375,0.7261681,0.1781943,0.5781893,0.2915258,0.4725843,0.3601523
Singapore,,,,,,,,,,,,,,0,0,0.1141665,0.2420284,0.4182256,0.1200787,0.8415086,0.5949202,0.8287017,0.264172,0.4065844,0.2633615,0.2960765,0.3177178,0.6110025,0.1658155,1.374814,0.65858,1.559005,0.6442559,1.158499,1.331989,0.5211838,1.208539,0.8138342,0.9946284,1.884686,0.29916,1.353568,0.4697077,0.7044762,0.4308034,1.295212,0.1355474,0.1361648,0,0.5409834,0.5820693,0.1667566,0.4474416,0.4689968,0.7675092,0.2865093,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39903,0.6882156,0.370916,0.7953748,0.4015545,0.5302896,0.3141681,0.0789476,0.3805519,0.5118065,0.8512223,0.7978682,0.8790064,0.3629821,,,
