"SBP male (mm Hg), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Cuba,130.41,130.2831,130.1601,130.0093,129.8278,129.7053,129.5663,129.4295,129.3217,129.2079,129.0787,128.904,128.7168,128.5065,128.3121,128.1525,128.0443,127.9482,127.8996,127.8723,127.8858,127.9542,127.9879,128.1452,128.3332,128.5606,128.8739,129.2446,129.6241
Cyprus,134.2823,133.9996,133.735,133.4339,133.1789,132.9812,132.8119,132.7861,132.801,132.8298,132.8931,132.8357,132.8047,132.7067,132.6083,132.4441,132.3387,132.2133,132.1085,131.985,131.8844,131.8108,131.7244,131.6387,131.576,131.4983,131.3931,131.3033,131.2014
Czech Rep.,136.3728,136.4533,136.5055,136.532,136.5266,136.4868,136.4148,136.3317,136.2866,136.1982,136.0717,135.879,135.6646,135.4532,135.1746,134.8585,134.5417,134.2568,134.012,133.8615,133.7621,133.6816,133.6369,133.6025,133.6034,133.5947,133.6397,133.6354,133.6519
Denmark,136.5936,135.9847,135.3811,134.8016,134.2423,133.7639,133.4262,133.179,133.0388,132.9354,132.8498,132.7509,132.6667,132.5399,132.4202,132.2864,132.1671,132.0016,131.8008,131.6001,131.4212,131.2264,131.0406,130.8202,130.5846,130.3788,130.1517,129.9675,129.7452
Djibouti,134.2588,134.0124,133.7497,133.463,133.2218,132.9957,132.8109,132.6527,132.4463,132.2677,132.0936,131.9103,131.7622,131.5969,131.4367,131.3019,131.1707,131.0838,131.0187,131.0105,131.0853,131.198,131.3441,131.5169,131.7228,131.9788,132.2741,132.6179,132.9728
Dominica,134.1293,133.9015,133.6903,133.4195,133.1284,132.8221,132.5308,132.3414,132.2364,132.1003,131.9783,131.9015,131.8685,131.8398,131.7572,131.7398,131.8052,131.9222,132.0494,132.1938,132.3265,132.5287,132.7415,132.9796,133.3518,133.7296,134.1649,134.6032,135.0412
Dominican Rep.,130.0171,129.8702,129.7031,129.532,129.3353,129.0867,128.8886,128.7658,128.6689,128.6025,128.5069,128.3902,128.3105,128.2453,128.176,128.1095,128.0913,128.0993,128.1676,128.2488,128.3724,128.5359,128.759,129.0324,129.3069,129.6441,130.0335,130.4273,130.8103
Ecuador,131.8774,131.7229,131.5068,131.2507,130.9715,130.7349,130.4684,130.16,129.9417,129.6762,129.4919,129.3314,129.1776,129.0227,128.8737,128.7285,128.6049,128.5274,128.4231,128.3539,128.2931,128.3076,128.3746,128.4881,128.6421,128.799,128.984,129.1857,129.3833
Egypt,125.7052,125.5796,125.4697,125.374,125.2882,125.2059,125.1293,125.0395,124.9802,124.9513,124.8992,124.8426,124.7952,124.7517,124.7299,124.7186,124.7398,124.7812,124.8647,124.9831,125.1235,125.2613,125.3848,125.5126,125.6241,125.6969,125.769,125.841,125.9152
El Salvador,127.8098,127.4457,127.0688,126.6886,126.3386,126.0215,125.7563,125.5323,125.3263,125.1271,124.9335,124.7407,124.5758,124.4396,124.3279,124.2358,124.153,124.1175,124.1228,124.2064,124.3034,124.4159,124.5702,124.7772,125.0176,125.325,125.6942,126.0964,126.4874
Equatorial Guinea,135.1672,135.0082,134.8195,134.5917,134.4139,134.1689,133.9355,133.7482,133.6044,133.4797,133.3729,133.2747,133.2061,133.1442,133.0485,133.0138,133.075,133.3307,133.6087,133.9574,134.2955,134.6959,135.0702,135.3931,135.7118,135.9621,136.1404,136.2975,136.4204
Eritrea,122.3477,122.4052,122.4342,122.4602,122.5469,122.6574,122.7826,122.9423,123.1158,123.3258,123.5464,123.7852,124.0552,124.3467,124.6427,124.913,125.1749,125.4307,125.6899,125.952,126.1847,126.4576,126.7503,127.0741,127.4287,127.8195,128.2155,128.6276,129.0578
Estonia,140.8071,140.6947,140.5588,140.4096,140.2415,140.0235,139.7993,139.594,139.4115,139.2624,139.1195,138.9612,138.7512,138.4945,138.1738,137.8637,137.5791,137.375,137.2467,137.2598,137.2657,137.333,137.4876,137.6647,137.8867,138.0838,138.2799,138.4413,138.5625
Ethiopia,123.0845,123.1734,123.2312,123.3223,123.4359,123.5331,123.6704,123.8274,124.0322,124.2492,124.4842,124.6628,124.8605,125.0676,125.2467,125.4184,125.5881,125.7617,125.9346,126.1484,126.3874,126.6592,126.9703,127.3023,127.6854,128.1182,128.5922,129.0724,129.571
Fiji,128.8615,128.7547,128.5872,128.3735,128.2227,128.0876,127.9833,127.8777,127.8102,127.7929,127.8993,127.9654,128.0257,128.0807,128.1269,128.2247,128.352,128.4664,128.5961,128.7135,128.8329,128.9351,129.0269,129.1611,129.2885,129.387,129.4984,129.5393,129.5842
Finland,143.1237,142.4901,141.8555,141.2303,140.6235,140.0504,139.5939,139.2469,138.9172,138.6051,138.2767,137.9005,137.4825,137.0679,136.668,136.2881,135.9584,135.6234,135.3588,135.1078,134.9202,134.8001,134.7557,134.7676,134.8243,134.9073,135.0228,135.1586,135.2823
France,138.7831,138.2685,137.7336,137.1872,136.6779,136.1861,135.8051,135.4924,135.2346,135.01,134.7957,134.5794,134.3978,134.1778,133.9824,133.7924,133.6171,133.4393,133.2492,133.0615,132.8673,132.6673,132.442,132.2214,131.981,131.7394,131.4896,131.2794,131.0455
French Polynesia,133.9388,133.6696,133.4018,133.1421,132.8915,132.6599,132.4791,132.3522,132.4795,132.3817,132.2868,132.4031,132.4947,132.5559,132.4246,132.4416,132.291,132.1578,132.052,132.1314,132.0697,132.0096,131.9484,131.9048,131.8553,131.7852,131.7063,131.6327,131.5403
Gabon,141.8779,141.4633,141.0205,140.593,140.2074,139.8418,139.4529,139.0453,138.7008,138.3647,138.0273,137.694,137.3782,137.0728,136.7679,136.4391,136.1338,135.862,135.6317,135.3629,135.1095,134.8853,134.671,134.5068,134.3794,134.2748,134.1927,134.141,134.0927
Gambia,134.2501,133.9993,133.7401,133.4537,133.1417,132.7368,132.3518,132.0593,131.8303,131.6715,131.5343,131.4371,131.3667,131.3484,131.3755,131.3898,131.4585,131.5428,131.6592,131.7875,131.9363,132.1009,132.2955,132.5392,132.7746,133.0144,133.2307,133.4487,133.6702
Georgia,138.4742,138.5129,138.5373,138.5733,138.5871,138.5667,138.5337,138.5158,138.4884,138.437,138.3531,138.1576,137.7506,137.3146,136.8331,136.309,135.8557,135.4948,135.1989,134.9928,134.8717,134.7897,134.759,134.8043,134.9034,135.0437,135.1912,135.2926,135.3898
Germany,140.0198,139.6293,139.2487,138.8596,138.5004,138.2059,138.0248,137.9427,137.9209,137.9165,137.9409,137.9322,137.9061,137.8374,137.72,137.5581,137.3829,137.2225,137.0018,136.7368,136.4049,136.0065,135.5652,135.1404,134.6695,134.2157,133.7589,133.3145,132.8777
Ghana,130.4911,130.3286,130.1476,129.9103,129.6994,129.4905,129.3528,129.2182,129.129,129.0709,128.9764,128.9,128.8414,128.7684,128.7102,128.6967,128.7603,128.8348,128.9078,128.9835,129.0577,129.1373,129.2149,129.2745,129.3139,129.3691,129.3996,129.4272,129.4649
Greece,133.5645,133.0583,132.5472,132.0547,131.5333,131.0806,130.7771,130.532,130.3394,130.181,130.0488,129.8821,129.7498,129.6178,129.4909,129.3353,129.1875,129.0922,129.0241,128.9458,128.8964,128.8264,128.7501,128.6874,128.6305,128.5975,128.5954,128.5857,128.5462
Greenland,141.2646,140.5917,139.8635,139.1322,138.3782,137.6765,137.1003,136.6034,136.2137,135.8676,135.4655,135.088,134.6815,134.3021,133.9323,133.6129,133.3349,133.1013,132.9285,132.7928,132.7127,132.6963,132.6853,132.6956,132.7482,132.8493,132.9398,133.0393,133.1297
Grenada,130.3305,130.185,130.0525,129.9263,129.8089,129.7545,129.7062,129.6512,129.5697,129.4453,129.3377,129.2317,129.0865,128.9452,128.8602,128.8084,128.8335,128.8819,129.015,129.1714,129.3642,129.5724,129.8161,130.1042,130.3767,130.7365,131.0283,131.3018,131.5923
Guatemala,127.839,127.529,127.2391,126.9524,126.7101,126.4059,126.0574,125.7464,125.4556,125.2346,124.9918,124.7627,124.574,124.3786,124.2092,124.1172,124.0785,124.1117,124.1849,124.3047,124.4727,124.6502,124.8531,125.1137,125.4351,125.7912,126.1616,126.5598,126.9508
Guinea,132.9475,132.6401,132.3469,132.0329,131.6757,131.327,131.0049,130.7379,130.5003,130.3171,130.1776,130.0559,129.9565,129.8739,129.8136,129.7893,129.816,129.9043,130.0529,130.23,130.4248,130.675,130.9569,131.2579,131.5645,131.8751,132.1869,132.4817,132.7823
Guinea-Bissau,132.1697,131.8256,131.4889,131.1505,130.8274,130.4333,130.1485,129.8953,129.7132,129.5615,129.4508,129.3238,129.2041,129.1879,129.1691,129.1814,129.2813,129.442,129.5444,129.7055,129.9333,130.1839,130.4335,130.7093,131.015,131.3253,131.6491,131.974,132.306
Guyana,127.0717,126.9074,126.6765,126.4286,126.1866,125.9891,125.821,125.7167,125.6513,125.583,125.4931,125.4701,125.5149,125.5994,125.7372,125.8742,126.0418,126.1919,126.3325,126.5406,126.7273,126.9003,127.0816,127.3178,127.6339,127.9471,128.2815,128.6781,129.0988
Haiti,128.2885,128.2115,128.1025,127.9617,127.8246,127.6834,127.5442,127.4228,127.3255,127.2358,127.1306,127.0336,126.8968,126.7774,126.6572,126.5961,126.5593,126.5652,126.6232,126.7504,126.9333,127.1716,127.4584,127.7935,128.1642,128.5943,129.058,129.5365,130.0145
Honduras,128.4525,128.2966,128.1339,127.9015,127.6659,127.4264,127.1848,126.9833,126.8084,126.6326,126.4375,126.2612,126.1017,125.977,125.8502,125.755,125.7191,125.7333,125.7805,125.844,125.9611,126.1003,126.2933,126.5258,126.8203,127.1746,127.5667,127.9791,128.3882
"Hong Kong, China",134.4465,133.9259,133.3849,132.8152,132.2593,131.6841,131.1556,130.6809,130.2548,129.8164,129.3793,128.9802,128.5807,128.2042,127.8371,127.4764,127.1755,126.9591,126.7944,126.703,126.6875,126.6905,126.7411,126.8447,126.9897,127.1557,127.3193,127.4841,127.6367
Hungary,138.1667,138.386,138.5852,138.7542,138.9041,138.9971,139.0484,139.0723,139.059,138.9673,138.7796,138.5087,138.1828,137.881,137.6068,137.3179,137.0642,136.8212,136.6412,136.5313,136.4266,136.3288,136.2722,136.2,136.1735,136.1575,136.1256,136.0915,136.0574
Iceland,137.7335,137.0769,136.3844,135.6297,134.8544,134.1681,133.617,133.1326,132.7091,132.3309,131.9928,131.6474,131.324,131.0381,130.8023,130.549,130.3419,130.1866,130.0823,129.9984,129.9311,129.8469,129.8076,129.7681,129.7408,129.7162,129.7045,129.6584,129.5866
India,122.0713,122.3415,122.6201,122.8443,123.0908,123.3439,123.6033,123.8561,124.0818,124.2613,124.4684,124.5863,124.6525,124.746,124.8192,124.8644,124.8965,124.9384,124.9811,125.0055,125.0275,125.0429,125.026,124.9242,124.8147,124.6478,124.4298,124.1876,123.9386
Indonesia,127.1698,127.0411,126.8458,126.6575,126.4943,126.3336,126.2213,126.1345,126.0727,126.059,126.1488,126.2701,126.4144,126.5719,126.749,126.898,127.0596,127.2509,127.3788,127.5012,127.649,127.8174,127.9824,128.1638,128.3289,128.4914,128.6269,128.7562,128.8672
Iran,131.5795,130.9517,130.4128,129.9315,129.491,129.0697,128.6201,128.197,127.8184,127.4372,127.1201,126.8652,126.6187,126.3943,126.2426,126.1521,126.0958,126.0768,126.1177,126.1809,126.3233,126.4852,126.6903,126.9127,127.1545,127.3912,127.6557,127.9138,128.1641
Iraq,130.7646,130.5131,130.249,129.9579,129.6462,129.3203,129.0166,128.792,128.509,128.1741,127.9035,127.2421,126.7701,126.4562,126.1938,125.924,125.8333,125.7072,125.7784,125.9318,126.1424,126.3607,126.5781,126.6759,126.8043,126.9375,127.0796,127.2432,127.4219
Ireland,139.4481,138.9863,138.4709,137.9567,137.4731,137.0378,136.6697,136.4366,136.2864,136.1527,136.0329,135.9656,135.9166,135.8416,135.7402,135.7271,135.7215,135.7635,135.8065,135.8432,135.8417,135.8268,135.7947,135.7167,135.6258,135.5257,135.3065,135.1372,134.9432
Israel,132.5967,132.2108,131.8441,131.433,131.0394,130.677,130.3385,130.0811,129.8889,129.6679,129.4704,129.2817,129.0879,128.8891,128.6967,128.4836,128.285,128.1239,127.9516,127.7608,127.6247,127.4869,127.3304,127.1871,127.0763,126.9825,126.9111,126.8276,126.7378
Italy,136.6196,136.32,136.062,135.8188,135.574,135.38,135.2478,135.1961,135.1841,135.1637,135.1017,134.9408,134.7594,134.5465,134.2824,133.9738,133.6578,133.318,132.9717,132.6402,132.3361,132.0684,131.8416,131.6293,131.4239,131.2664,131.1359,131.0274,130.906
Jamaica,131.2596,130.9176,130.6123,130.3206,130.0019,129.7066,129.4668,129.3018,129.1892,129.0552,128.9596,128.8933,128.8162,128.7371,128.6305,128.5287,128.4667,128.4635,128.4813,128.5363,128.6359,128.7674,128.9684,129.1905,129.4764,129.7736,130.0885,130.4613,130.8277
Japan,136.7991,136.1599,135.5054,134.8557,134.238,133.7063,133.3085,133.0467,132.8807,132.7547,132.6562,132.5482,132.409,132.248,132.0704,131.8752,131.6841,131.5017,131.3369,131.2151,131.1255,131.0451,130.971,130.8917,130.8055,130.7231,130.6493,130.563,130.4549
