"TB mortality, all forms in HIV+ (per 100 000 population per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.4
Niger,0.7,0.9,1.2,1.6,2,2.6,3.4,3.9,4.4,5.1,5.5,5.9,6.3,6.2,6.6,6.7,6.7,6.8
Nigeria,4.6,6.6,8.8,11.5,14.6,17.8,21,24.4,27.9,31.5,35.5,39.2,42.7,44.1,44,43.2,41.7,39.8
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pakistan,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.2,1.3,1.3,1.2,1.1,0.9
Panama,0.8,1,1.1,1.3,1.4,1.5,1.5,1.4,1.6,1.4,1.3,1,0.8,0.8,0.6,0.6,0.6,0.7
Papua New Guinea,0.3,0.4,0.5,0.7,0.9,1.1,1.6,1.9,2,2.9,3.6,4.3,4.8,5.5,5.6,7.2,10.4,16.6
Paraguay,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.6,0.7,0.9,1,1.1,1.3,1.4,1.5,1.5,1.3,1.4
Peru,0.9,1.1,1.2,1.3,1.4,1.5,1.8,1.9,1.8,1.9,1.9,1.9,1.9,2,1.8,1.7,1.6,1.5
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.3,0.3,0.3
Poland,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Portugal,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,1.1,1.1,1,1,1.1,1,0.9,0.8,0.8
"Korea, Rep.",0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1
Moldova,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.6,0.8,0.9
Romania,0,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.5,0.7,0.8,0.8,0.7,0.8,0.7,0.7,0.6,0.6
Russian Federation,0,0,0,0,0,0,0,0.1,0.3,0.7,1.5,2.6,3.6,4.4,4.6,4,3.8,3.6
Rwanda,52.2,56,57.6,59.1,60.7,62.1,63.5,64.8,67.7,72.2,78.4,84.5,87.4,87.2,85.3,79.7,73.2,70.2
Senegal,0.8,0.9,1.1,1.3,1.5,1.8,2.2,2.7,3.3,4.2,4.9,6,7.1,8.3,9.8,11.3,13,15.1
Sierra Leone,2.4,4.4,7.3,10.5,13.5,15.8,16.8,19,21,23.4,26.2,28.8,33.2,37.1,41.6,45,47.5,50.2
Singapore,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,0.6,0.9,1.3,1.8,2.6,3.4,4.2,5.1,6.2,6.9,7.5,7.7,8,7.7,6.8,6.5,7.3,7.8
South Africa,(-19.5),(-10),3.5,44.7,57.9,70.8,85.5,99,113.8,106.6,153,178.4,161,191.2,196.2,210,194.2,192.9
Spain,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,6.2,8.6,9.8,10.3,10.5,10.7,10.9,11.3,10.7,11.1,11.1,11.7,11,11.4,11.8,12.1,12.2,12.6
Suriname,0.4,0.4,0.5,0.6,0.7,0.9,1.3,1.8,2.6,3.2,3.6,4.2,4.8,5.8,6.7,8,9.2,10.4
Swaziland,13.3,21.7,33.2,49.6,72.1,100.1,132.3,165.3,203.7,282.5,317,365.4,200.7,201.8,237.2,268.4,282,276.8
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Tajikistan,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.5,0.8,1,1.6,2,2.6,3.1
Thailand,6.3,8.7,10.1,11.1,11.6,11.6,11.6,11.2,10,8.8,8.2,7,6.7,6.2,6.1,5.9,5.9,6
"Macedonia, FYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,11.1,16.3,22.9,29.8,35.9,40.6,44.7,51.3,52,54.1,55.6,56.9,59.4,58.6,59,59.4,60.1,61.8
Trinidad and Tobago,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.6,0.7,0.6,0.6
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Uganda,51.7,79.8,86.5,93.3,94.8,97,93.4,70.6,70.6,66.9,69.1,66.8,68.9,70.2,66,62.8,57.3,52.2
Ukraine,0,0,0,0,0,0.1,0.3,0.7,1.2,1.5,1.9,2.4,2.9,3.6,3.9,3.5,3.5,3.7
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,23,28,32.7,37,41.6,45.8,49.5,54,55.1,57.4,59.4,57.6,59.9,58.6,56.5,54.6,52.2,49
United States of America,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
Uruguay,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.5
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.6
Venezuela,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9
Viet Nam,0,0.1,0.1,0.2,0.3,0.4,0.6,0.8,1.1,1.5,1.9,2.4,2.7,3.1,3.2,3.4,3.5,3.5
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,,
Zambia,88.5,115.8,143.7,163.7,177.6,187.3,194.6,202.2,204.9,211.2,208.2,224,121.7,108.2,107,108,99.5,89.1
Zimbabwe,106,127.9,145.5,163.3,179.8,196.5,210.5,223.9,121.4,133.5,159.3,168.1,184.1,215.3,211.9,218.3,219.6,212.8
