Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cote d'Ivoire,0,,,,,0.0002002556063,0.008409779849,0.01882836129,0.0609744386,0.1186859167,0.2314616706,0.3957477022,0.4979293608,0.7586696295,0.8492824147,1.039238205,1.524900791,1.8,1.9,2,2.1,2.2
Croatia,0,,,0.09698225579,0.2688159925,0.5140286999,0.890081964,1.749807002,3.332664752,4.391856703,6.76428775,11.66692179,17.864052,22.8349897,30.98326763,33.13989555,37.92688788,41.3465358,50.42182729,56.03958394,60.11970702,70.52644602
Cuba,0,,,,,0.00009165801186,0.03194900136,0.06822021376,0.2266991989,0.3146905412,0.5411825488,1.079751722,3.770585038,5.241269054,8.407984759,9.738062208,11.15960131,11.69,12.94,14.33,15.9,23.23
Cyprus,0,,0.05006043009,0.05636748216,0.1110346206,0.4101206848,0.6733435412,4.378272095,8.890539159,11.34239866,15.25539437,18.81875904,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,57.68
Czech Republic,0,,,0.5807605995,1.257874245,1.452461652,1.93939533,2.913393387,3.889977266,6.817171538,9.752504965,14.68168024,23.94089704,34.27299983,35.4501312,35.21765921,47.88174858,51.82630744,62.68622733,64.13852478,68.64446628,72.8889968
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,
Denmark,0.09727906524,0.1940843753,0.3869640795,0.578635602,1.345828887,3.825649841,5.706451857,11.36602703,22.64921525,30.58450445,39.17158719,42.9356563,64.18517551,76.17388772,80.86646322,82.74018321,86.73560981,85.14975798,85.0771224,86.86797134,88.75932497,89.97729817
Djibouti,0,,,,,0.01603083049,0.03116624073,0.08294149759,0.09469600397,0.1057619088,0.1945005284,0.343526263,0.4869717045,0.6259402294,0.7813171751,0.9536114493,1.270041159,1.62,2.26,4,6.5,7
Dominica,0,,,,,0.5487627365,1.165518146,,2.925345191,2.932164377,8.814844198,13.24522804,18.42489277,23.62041985,30.31961309,38.54364326,39.3981743,40.27446301,41.16,42.02,47.45,51.3135
Dominican Republic,0,,,,,0.01723360084,0.07498705264,0.1426875655,0.233914189,1.104743874,3.704692356,4.429390697,6.823725733,7.898392937,8.865553461,11.48319778,14.84492837,17.66,20.82,27.72,31.4,35.5
East Germany,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,,0.005118035389,0.01640075126,0.03483358612,0.04383364116,0.08616127564,0.1102179594,0.125272771,0.8233716344,1.462188536,2.670443674,4.260796915,4.460228345,4.834442638,5.994255161,7.2,10.8,18.8,24.6,29.03,31.4
Egypt,0,,,0.0009757913644,0.006383269604,0.03131963824,0.06146689894,0.09048024471,0.1479873769,0.2904452783,0.6412650375,0.8389456115,2.719999715,4.037885107,5.150666232,11.69839821,12.55279997,16.05,18.01,24.28,30.2,35.62
El Salvador,0,,,,,,0.08638958073,0.2569606794,0.4252536723,0.8454287414,1.177397269,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,17.68859598
Equatorial Guinea,0,,,,,,,0.04146229212,0.0944237739,0.09741594465,0.1323546651,0.1652604229,0.3211979972,0.520524272,0.8439302846,1.149789671,1.279193596,1.557123059,1.82,2.13,6,
Eritrea,0,,,0,0,0,0,0.009017718012,0.008774236269,0.02549502847,0.1367119411,0.1578152893,0.2270901376,0.7256232317,1.161025669,1.788460051,2.159383211,2.509846441,4.06,4.93,5.4,6.2
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,
Estonia,0,,0.06525281608,0.3013625665,1.163320929,2.786852943,3.535403123,5.7211708,10.82919814,14.54630827,28.60270304,31.49795227,41.45888024,45.26636159,53.16684093,61.43904388,63.53320976,66.24925009,70.65738833,72.57345902,74.15413074,76.53065709
Ethiopia,0,,,,,0.00001754912254,0.001703448289,0.004966720489,0.00966351745,0.01254159892,0.01526376721,0.03716238107,0.07240226187,0.1058116588,0.1553345208,0.219659819,0.3105926569,0.37,0.45,0.54,0.75,1.1
Faeroe Islands,0,,,,,0,2.318786811,4.601297566,11.33786848,22.29753835,32.91639236,43.24698352,53.29922183,58.91264097,66.53359947,67.90263174,69.35944512,75.98,75.57,75.18,75.2,80.7321728
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,
Fiji,0,,,0.006678447448,0.007907399085,0.009115342945,0.06443714157,0.2234548417,0.6331678655,0.9424620628,1.496854734,1.857978594,6.1526497,6.725434738,7.412943485,8.453636634,9.6000384,10.89783105,13,17,20,28
Finland,0.4010884739,1.396162786,1.884175563,2.565899705,4.913200453,13.90033654,16.78205302,19.45649457,25.44030613,32.27334121,37.22803204,43.08186648,62.39046955,69.18787978,72.36085388,74.45509807,79.65497801,80.80613384,83.71621739,82.53133098,86.90934362,89.33300444
France,0.05135839639,0.1362929817,0.271338368,0.5740868859,0.8743518422,1.590891489,2.508799722,4.129441202,6.130810476,8.862278766,13.87027699,25.48284606,29.18942498,34.94483263,37.8355608,41.39108117,45.22005544,63.74893924,68.18519055,69.0633593,77.28357938,76.76991667
French Guiana,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,0,,,,,,0.09097194425,0.2143852503,1.316164696,3.448900232,6.357063545,6.251588946,8.200216486,14.12429379,17.88453743,21.54218547,25.10796425,28.59,33.87,44.6,49,49
Gabon,0,,,,,,0,0.0479990086,0.1701248802,0.2490095645,1.216140618,1.347620222,1.939530106,2.659586594,2.9790698,4.89326475,5.489200803,5.767004576,6.21,6.7,7.23,8
Gambia,0,,,,,0.00921754135,0.03550736023,0.05131134699,0.2060944605,0.7158270148,0.9217949191,1.336791166,1.796779883,2.436781193,3.308003478,3.799001139,5.237691158,6.205037419,6.88,7.63,9.2,10.8703
Georgia,0,,,,,0.01267519138,0.04333095746,0.06621405892,0.1114564009,0.4493181642,0.5206735662,1.059972221,1.685923032,2.701259964,4.067386062,6.240889728,7.603591773,8.311866867,10.03356073,19.90086925,26.29252686,35.28069339
Germany,0.1253613899,0.2491418815,0.4334409509,0.4623197386,0.9231849998,1.843393972,3.065452305,6.734913847,9.914364049,20.90725137,30.26689089,31.66413443,48.78657938,55.86609122,64.73634072,68.76941828,72.29988238,75.38833586,78.34689488,79.48523153,82.52696855,83.44331664
Ghana,0,,,,,0.0003479175742,0.005648762969,0.02753754179,0.03224044321,0.1048954662,0.1536152976,0.2000080603,0.8302840338,1.193057911,1.716797704,1.831197461,2.723175973,3.85,4.27,5.44,9.55,14.11
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Greece,0,0.04874522954,0.04820481151,0.191039732,0.3789304077,0.7522544906,1.401285071,1.857940148,3.236607539,6.912069848,9.196931697,11.0173514,14.78454371,17.94138254,21.58567933,24.17107186,32.45492427,36.08180804,38.3859944,42.56473331,44.57201236,53.40336545
Greenland,0,,,,0.06486486486,0.05376344086,1.788908766,7.917857143,14.59358289,21.57257759,31.7455516,35.49245785,44.16180899,54.6101553,56.22715997,57.96184602,59.89075011,61.89175351,63.92298573,63.924335,63.85028214,64.62258565
Grenada,0,0,0,0,0,0,0.2980329823,0.9908838684,1.484854484,2.473166147,4.063907991,5.128103982,14.75884055,18.64518218,19.57062058,20.48780488,21.39599117,22.29,23.18,24.05,33.46,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,
Guam,0,,,,0.34845391,0.6595309086,1.356106888,2.344571647,4.50128419,8.497176323,16.11312704,25.38022753,31.19229426,33.71668179,36.16178784,38.55987756,43.851443,46.15047362,48.41870215,50.64202838,,
Guatemala,0,,,,,0.002998005427,0.01953487082,0.09547602148,0.4665904445,0.5926529453,0.7123329045,1.738201782,3.39174627,4.548854908,5.1,5.7,6.5,7.3,8.3,9.3,10.5,11.7274
Guernsey,,,,,,,,,,,,,,,,,,,,,,
Guinea,0,,,,0.0001383184597,0.0006685894408,0.00194894188,0.003803108509,0.006203368504,0.06080891916,0.09542492361,0.1755418685,0.4020227487,0.4509603708,0.5088193323,0.542254181,0.637492123,0.7800252791,0.92,0.94,1,1.3
Guinea-Bissau,0,,,,,,,0.01638906325,0.02406042053,0.1177024482,0.2301031706,0.2995691447,1.022993234,1.354197478,1.808142203,1.901365316,2.057196705,2.206302237,2.354888711,2.303280592,2.45,2.672
Guyana,0,,,,,,0.0658541147,0.131828033,0.2640881104,3.966354735,6.611491566,13.2069865,,,,,,,18.2,23.9,29.9,32
Haiti,0,,,,,,0.007484253131,,0.02399947681,0.07065847813,0.2312707146,0.3408323262,0.8934329883,1.647358346,5.401261908,6.376201635,6.796000481,7.2,7.6,8.1,8.37,
Holy See,,,,,,,,,,,,,,,,,,,,,,
Honduras,0,,,,,0.03677525238,0.04371124561,0.1709964682,0.3012472137,0.5735754761,1.203855999,1.415281931,2.597402597,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.09,15.9
