"","wages","education","age","sex","language"
"2003",19.2,12,34,"Male","English"
"2004",35.2,14,40,"Female","English"
"2005",6.71,12,65,"Female","English"
"2006",21.6,12,47,"Male","English"
"2007",NA,19,62,"Male","English"
"2008",NA,10,60,"Female","French"
"2009",23.06,19,23,"Female","English"
"2010",14.84,10,49,"Male","English"
"2011",19.18,9,48,"Male","English"
"2012",12.37,12.5,42,"Female","English"
"2013",21.04,12,37,"Female","English"
"2014",NA,8,61,"Female","English"
"2015",6.75,11,61,"Female","Other"
"2016",NA,10,16,"Male","English"
"2017",10.98,12,26,"Male","English"
"2018",12,13.6,19,"Female","English"
"2019",10.7,15,28,"Female","English"
"2020",17.67,15,36,"Male","English"
"2021",9.99,15.5,23,"Male","English"
"2022",28.8,12.2,45,"Male","French"
"2023",14.38,16,27,"Female","English"
"2024",NA,14,75,"Male","English"
"2025",NA,18,61,"Male","English"
"2026",NA,15.6,20,"Female","English"
"2027",11.81,10,39,"Male","English"
"2028",NA,12,69,"Male","English"
"2029",NA,17,65,"Male","English"
"2030",6.5,12,19,"Female","Other"
"2031",NA,15.6,32,"Male","Other"
"2032",22,10,47,"Male","English"
"2033",17.42,18.1,25,"Female",NA
"2034",11.61,13.4,40,"Female","English"
"2035",9.43,12,35,"Male","English"
"2036",NA,12.5,66,"Female","English"
"2037",19.9,17,41,"Male","English"
"2038",8.65,13.1,20,"Male","English"
"2039",NA,10,51,"Female","English"
"2040",NA,11,65,"Female","English"
"2041",NA,11,18,"Female","English"
"2042",NA,11,23,"Female","English"
"2043",NA,14,32,"Female","English"
"2044",19.2,15.1,47,"Male","English"
"2045",NA,11,77,"Male","English"
"2046",10.18,12,28,"Female","Other"
"2047",6.76,10,16,"Female","English"
"2048",12.96,16.3,25,"Female","English"
"2049",NA,NA,73,"Female","English"
"2050",NA,11,59,"Female","English"
"2051",NA,16,34,"Female","English"
"2052",7.35,18,26,"Female","English"
"2053",NA,3,50,"Male","Other"
"2054",40.96,17,52,"Male","English"
"2055",13.59,12.5,29,"Female","English"
"2056",NA,12.5,42,"Female","English"
"2057",NA,7,66,"Male","English"
"2058",NA,18.5,36,"Female","English"
"2059",NA,11,66,"Male","Other"
"2060",NA,7,70,"Female","Other"
"2061",NA,13,40,"Female","English"
"2062",NA,12.5,61,"Male","English"
"2063",9.54,12.5,33,"Male","English"
"2064",14.49,10,46,"Male","English"
"2065",28.8,17.1,49,"Male","Other"
"2066",10,11,17,"Male","English"
"2067",6.7,14,21,"Male","English"
"2068",NA,12.5,74,"Female","English"
"2069",NA,17,48,"Female","English"
"2070",26.96,13.5,47,"Male","English"
"2071",12.19,13,19,"Male","English"
"2072",6.5,12,19,"Female","English"
"2073",32.91,17,52,"Female","English"
"2074",15,14.1,22,"Female","English"
"2075",15,14,31,"Female","English"
"2076",5.11,15.6,23,"Female","English"
"2077",7,15,18,"Female","Other"
"2078",31.2,10,52,"Male","English"
"2079",23.04,18,38,"Female","English"
"2080",NA,11.5,61,"Female","English"
"2081",NA,9,66,"Female","English"
"2082",NA,NA,47,"Female","French"
"2083",6.78,13.8,18,"Male","English"
"2084",15.36,15,52,"Female","English"
"2085",NA,10,57,"Female","English"
"2086",NA,12.5,40,"Male","Other"
"2087",NA,15,33,"Male","English"
"2088",NA,12.5,60,"Female","French"
"2089",13.68,11,49,"Female","English"
"2090",17,13,35,"Female","English"
"2091",NA,10,59,"Female","English"
"2092",NA,13,38,"Female","English"
"2093",NA,16,34,"Female","English"
"2094",NA,8,47,"Female","English"
"2095",NA,14,31,"Female","English"
"2096",NA,8,66,"Female","English"
"2097",NA,10,50,"Male","English"
"2098",NA,16,31,"Male","English"
"2099",NA,16.3,39,"Male","English"
"2100",25.92,14,53,"Female","English"
"2101",NA,8,60,"Female","French"
"2102",6.85,11,17,"Male","English"
"2103",13.92,14,31,"Male","English"
"2104",6.7,11,17,"Female","English"
"2105",16.59,20,26,"Female","Other"
"2106",14.06,12.3,19,"Female","English"
"2107",NA,10,66,"Male","English"
"2108",5.64,13.9,20,"Male","English"
"2109",10.45,19.3,45,"Female","Other"
"2110",NA,12.5,35,"Male","English"
"2111",14.34,10.6,38,"Male","French"
"2112",NA,NA,46,"Male","French"
"2113",14.11,17,30,"Female","English"
"2114",16.96,0,42,"Female","English"
"2115",6.7,17,24,"Female","English"
"2116",NA,10,61,"Female","English"
"2117",7.39,15.5,20,"Female","Other"
"2118",NA,11,63,"Male","English"
"2119",10.85,15,32,"Female","English"
"2120",3.31,9,34,"Female","Other"
"2121",NA,10,16,"Female","French"
"2122",28.8,12,59,"Male","English"
"2123",NA,13,46,"Male","English"
"2124",NA,10,17,"Male","English"
"2125",NA,13,66,"Female","English"
"2126",NA,11,16,"Male","English"
"2127",NA,8,64,"Male","English"
"2128",NA,3,72,"Female","Other"
"2129",NA,12,49,"Male","Other"
"2130",13.96,13.5,27,"Male","English"
"2131",10,14,26,"Male","English"
"2132",21.5,16,49,"Female","English"
"2133",NA,11,29,"Female","English"
"2134",NA,15,25,"Female","English"
"2135",12.81,12,54,"Female","English"
"2136",19.2,13,39,"Female","English"
"2137",NA,11.5,33,"Female","English"
"2138",NA,15,60,"Male","English"
"2139",17.76,15,27,"Male","English"
"2140",14.4,9,55,"Female","English"
"2141",NA,9,70,"Male","French"
"2142",40,14,38,"Female","English"
"2143",NA,NA,84,"Male","English"
"2144",10.87,8,51,"Female","English"
"2145",NA,12,64,"Female","English"
"2146",NA,17,75,"Female","English"
"2147",6.7,12,17,"Male","English"
"2148",NA,8,77,"Male","English"
"2149",NA,12,59,"Female","Other"
"2150",NA,14,30,"Male","English"
"2151",6.91,11,48,"Female","English"
"2152",NA,15,33,"Female","English"
"2153",NA,12,18,"Female","English"
"2154",NA,9,60,"Male","French"
"2155",15.72,16,43,"Female","English"
"2156",25.67,13.5,30,"Male","Other"
"2157",29.33,18,40,"Female","English"
"2158",20,12.3,42,"Female","French"
"2159",22.98,14,29,"Male","English"
"2160",10,15,40,"Female","English"
"2161",NA,8.8,53,"Female","English"
"2162",11,12,36,"Male","English"
"2163",8.09,14,22,"Female","Other"
"2164",8.5,17.1,27,"Male","English"
"2165",NA,12,59,"Female","English"
"2166",19.75,19,33,"Male","English"
"2167",27.27,14.8,40,"Male",NA
"2168",11,12,56,"Female","French"
"2169",12.6,13,38,"Female","French"
"2170",25.98,15,47,"Female","English"
"2171",4.03,13.6,30,"Female","English"
"2172",NA,9,49,"Male","English"
"2173",NA,14,33,"Female","English"
"2174",18,14,31,"Male","French"
"2175",NA,13,32,"Male","English"
"2176",16.95,18,29,"Female","English"
"2177",NA,13.4,31,"Female","French"
"2178",NA,13.9,39,"Female","English"
"2179",8,8,30,"Male","Other"
"2180",NA,19,51,"Male","English"
"2181",NA,12,64,"Female","English"
"2182",NA,8,59,"Female","English"
"2183",NA,11.8,19,"Female","Other"
"2184",NA,6,63,"Female","Other"
"2185",NA,4,67,"Male","English"
"2186",NA,12,47,"Female","English"
"2187",3.19,13,18,"Female","English"
"2188",NA,13,28,"Female","English"
"2189",6.7,13,18,"Female","English"
"2190",NA,14,34,"Female","English"
"2191",15.87,15,30,"Female","English"
"2192",19.61,16.1,30,"Female","English"
"2193",11.67,10,55,"Female","Other"
"2194",6.8,11,17,"Female","English"
"2195",13.5,12.8,24,"Male","English"
"2196",NA,18,49,"Male","English"
"2197",7.95,12.5,33,"Female","English"
"2198",NA,4,69,"Female","Other"
"2199",6.7,13,19,"Female","English"
"2200",NA,13,60,"Male","English"
"2201",NA,14,52,"Male","English"
"2202",13.53,14,33,"Male","English"
"2203",20.63,NA,28,"Female","English"
"2204",NA,NA,31,"Female","English"
"2205",NA,8,65,"Male","English"
"2206",8.16,13,18,"Male","English"
"2207",28.8,16,33,"Male","English"
"2208",NA,13,64,"Female","English"
"2209",26.4,11,38,"Male","English"
"2210",25.93,15,42,"Female","English"
"2211",NA,14,53,"Male","English"
"2212",NA,18.4,50,"Female","Other"
"2213",13.44,12,64,"Female","English"
"2214",NA,12,37,"Male","English"
"2215",19.26,13.6,39,"Male","English"
"2216",6.75,11,19,"Male",NA
"2217",8.5,8,53,"Male","Other"
"2218",NA,9,68,"Male","Other"
"2219",9,8,43,"Male","English"
"2220",12,12,21,"Female","English"
"2221",11.25,11.5,30,"Male","English"
"2222",6,13,17,"Female","Other"
"2223",NA,16,44,"Female","Other"
"2224",8.89,10,62,"Male","English"
"2225",26.4,17,39,"Male","English"
"2226",11.96,10.5,48,"Female","Other"
"2227",25.6,16,40,"Male","English"
"2228",NA,10,76,"Female","English"
"2229",23.04,15.5,56,"Female","English"
"2230",NA,10,16,"Female","English"
"2231",7.5,12.5,39,"Female","English"
"2232",NA,8,81,"Female","English"
"2233",22.2,12,48,"Female","Other"
"2234",6.85,11,18,"Male","English"
"2235",7.75,13,37,"Male","English"
"2236",12,13,22,"Male","English"
"2237",NA,14,28,"Male","English"
"2238",6.85,13,32,"Female","English"
"2239",NA,13,23,"Male","English"
"2240",22.5,15.4,62,"Female","English"
"2241",NA,12,36,"Male","English"
"2242",18.67,NA,53,"Male","English"
"2243",NA,10,35,"Male","English"
"2244",30.24,19,43,"Female","English"
"2245",7,NA,17,"Male",NA
"2246",NA,11,56,"Female","English"
"2247",NA,13,33,"Female",NA
"2248",13.02,13,37,"Female","Other"
"2249",NA,13,20,"Female","English"
"2250",26.48,15,33,"Male","English"
"2251",11.52,12,46,"Male","Other"
"2252",NA,NA,34,"Female","English"
"2253",NA,10,64,"Female","French"
"2254",17.76,12,42,"Female","French"
"2255",15.32,7,62,"Male","English"
"2256",6.49,18.3,24,"Female","English"
"2257",NA,17.1,63,"Female","English"
"2258",NA,18,48,"Male","Other"
"2259",6.46,15.3,28,"Female","English"
"2260",11,12,26,"Female","English"
"2261",NA,8,76,"Male","English"
"2262",7,12.5,34,"Female","English"
"2263",16.8,15,40,"Male","English"
"2264",21,16.5,47,"Female","English"
"2265",13,12,29,"Female","English"
"2266",NA,8,73,"Male","English"
"2267",26.35,14,36,"Female","English"
"2268",NA,12,35,"Female","English"
"2269",13.38,12,45,"Female","English"
"2270",15,19,40,"Female","English"
"2271",NA,8,62,"Female","English"
"2272",14.8,15,42,"Male","English"
"2273",27.03,14,32,"Male","French"
"2274",NA,10,62,"Female","English"
"2275",NA,15,64,"Female","English"
"2276",NA,9,52,"Male","Other"
"2277",NA,10,17,"Male","English"
"2278",NA,12,46,"Male","Other"
"2279",NA,16,27,"Male","English"
"2280",14.09,13,31,"Male","English"
"2281",NA,11,39,"Male","English"
"2282",NA,8,68,"Female","Other"
"2283",NA,9,69,"Female","English"
"2284",NA,12,49,"Male","English"
"2285",20.48,NA,43,"Female","Other"
"2286",NA,4,62,"Female","Other"
"2287",NA,8,39,"Female","English"
"2288",NA,13.5,73,"Female","English"
"2289",NA,13.5,58,"Female","English"
"2290",11.43,9,19,"Female","English"
"2291",NA,14,63,"Female","French"
"2292",4.03,10.4,17,"Female","English"
"2293",NA,12,17,"Female","English"
"2294",NA,12,76,"Male","English"
"2295",NA,9,19,"Female","English"
"2296",12,11,24,"Male","English"
"2297",9.6,9,52,"Female","Other"
"2298",18.65,12,28,"Male","Other"
"2299",14,NA,21,"Female","English"
"2300",NA,8,65,"Male","French"
"2301",32.16,18,40,"Male","English"
"2302",8.05,12,41,"Female","English"
"2303",8,10.4,34,"Male","English"
"2304",NA,8,74,"Female","English"
"2305",10,12,19,"Male","English"
"2306",7.45,14,35,"Female","English"
"2307",NA,8,65,"Female","French"
"2308",25.81,12,37,"Male","English"
"2309",29.98,17,44,"Female","English"
"2310",NA,13.1,19,"Male","English"
"2311",NA,10,65,"Male","English"
"2312",38,13,34,"Male","English"
"2313",NA,13,35,"Female","English"
"2314",NA,15,64,"Male","English"
"2315",NA,17,44,"Male","English"
"2316",12.6,12,40,"Female","English"
"2317",11.46,NA,36,"Male",NA
"2318",16.46,10.5,44,"Female","English"
"2319",NA,11,61,"Male","Other"
"2320",20.64,18,50,"Male","English"
"2321",41.14,18,46,"Female","English"
"2322",NA,8,73,"Female","English"
"2323",NA,10.3,32,"Female","French"
"2324",10.21,14,21,"Female","Other"
"2325",9.25,8,55,"Female","Other"
"2326",NA,8,64,"Male","Other"
"2327",NA,17.1,23,"Male","English"
"2328",17.81,14.5,42,"Female","Other"
"2329",NA,14,61,"Female","English"
"2330",16,13,34,"Male","English"
"2331",17.28,15,36,"Male","English"
"2332",8.5,9,62,"Female","English"
"2333",11.35,12.2,48,"Female","Other"
"2334",18.24,13.4,29,"Female","English"
"2335",24.84,15.3,33,"Male","English"
"2336",6.87,6,55,"Female","Other"
"2337",18.07,15.6,27,"Male","French"
"2338",NA,10,67,"Male","English"
"2339",NA,7,65,"Male","English"
"2340",10.2,12.5,28,"Female","English"
"2341",14.28,12,39,"Male","English"
"2342",10.29,13.6,18,"Female","English"
"2343",15.57,12,39,"Female","English"
"2344",7.64,11,31,"Male","English"
"2345",24.69,13,54,"Male","English"
"2346",NA,14.9,21,"Female","English"
"2347",14.98,16,53,"Male","English"
"2348",8,11.5,46,"Female","English"
"2349",NA,17,24,"Male","English"
"2350",33.6,16,36,"Male","English"
"2351",8.74,12,23,"Male","English"
"2352",NA,11,47,"Male","French"
"2353",NA,8,77,"Male","English"
"2354",26.85,12,31,"Female","French"
"2355",42.93,20,64,"Male","Other"
"2356",NA,10,67,"Male","Other"
"2357",NA,14,70,"Female","English"
"2358",NA,20,47,"Female","English"
"2359",NA,15.5,65,"Female","English"
"2360",31.2,20,57,"Male","English"
"2361",25.34,16,29,"Male","English"
"2362",NA,11,73,"Male","Other"
"2363",NA,18,35,"Male","English"
"2364",16.67,18.4,39,"Male","English"
"2365",19.2,16,51,"Male","English"
"2366",20.48,17,27,"Female","English"
"2367",NA,0,59,"Male","Other"
"2368",9.17,9.5,63,"Male","English"
"2369",5.84,14,40,"Female","Other"
"2370",NA,7,74,"Female","English"
"2371",NA,10,78,"Female","English"
"2372",NA,20,54,"Male","English"
"2373",7,11,32,"Male","Other"
"2374",NA,10,53,"Female","Other"
"2375",NA,18,34,"Male","English"
"2376",NA,10,76,"Male","English"
"2377",7,9,33,"Female","English"
"2378",NA,19.3,64,"Male","English"
"2379",NA,10.5,50,"Female","English"
"2380",10.34,13.3,41,"Female","English"
"2381",NA,0,85,"Female","Other"
"2382",NA,18,95,"Male","English"
"2383",16.72,14,36,"Female","English"
"2384",NA,7,58,"Male","French"
"2385",9.6,11,41,"Male","English"
"2386",NA,12.7,23,"Male","English"
"2387",12,10,48,"Female","Other"
"2388",NA,14,28,"Female","English"
"2389",15.6,14,27,"Male","English"
"2390",24.76,15,64,"Female","English"
"2391",20.88,19,35,"Male","Other"
"2392",6.7,8,30,"Female","English"
"2393",44.28,15,59,"Male","Other"
"2394",22.08,11,54,"Male","English"
"2395",NA,8,66,"Male","English"
"2396",18.52,14,25,"Male","English"
"2397",16.78,14.1,35,"Male","English"
"2398",17,12,48,"Female","English"
"2399",NA,13,53,"Female","English"
"2400",NA,2,68,"Female","English"
"2401",NA,NA,58,"Male","English"
"2402",20.16,20,56,"Male","English"
"2403",NA,10,48,"Male","English"
"2404",NA,12,50,"Male","Other"
"2405",NA,16,35,"Female","English"
"2406",NA,20,83,"Male","English"
"2407",NA,8,59,"Male","French"
"2408",NA,10,64,"Female","English"
"2409",NA,10,16,"Male","English"
"2410",28.53,16,41,"Male","English"
"2411",6.85,10,16,"Female","English"
"2412",NA,13,72,"Female","English"
"2413",15.84,13,64,"Male","English"
"2414",NA,11,17,"Female","English"
"2415",NA,12,63,"Female","English"
"2416",NA,14,33,"Male","English"
"2417",NA,17.1,56,"Female","Other"
"2418",NA,4.5,58,"Male","English"
"2419",6.98,12.8,19,"Female","English"
"2420",21.25,12,42,"Male","Other"
"2421",NA,NA,33,"Female","English"
"2422",NA,18,39,"Female","English"
"2423",7.19,11.6,19,"Female","Other"
"2424",15.93,9.2,34,"Female","Other"
"2425",34.56,17,46,"Male","English"
"2426",NA,NA,66,"Male","Other"
"2427",13.44,12,39,"Female","Other"
"2428",8.09,8,41,"Female","French"
"2429",24.14,10.5,49,"Male","English"
"2430",NA,4,81,"Female","English"
"2431",21.38,10,58,"Male","English"
"2432",13.19,10,43,"Female","English"
"2433",23.04,11,39,"Female","English"
"2434",19.2,12,50,"Female","English"
"2435",19.2,18,35,"Female","English"
"2436",14.83,10,51,"Male","English"
"2437",NA,11,62,"Male","Other"
"2438",25.95,15,37,"Female","English"
"2439",18.57,13.5,31,"Male","English"
"2440",NA,12,18,"Female","French"
"2441",12.8,11.5,58,"Female","English"
"2442",18.43,20,30,"Female","Other"
"2443",15.52,17,25,"Male","English"
"2444",NA,11.5,65,"Male","English"
"2445",21.6,10,40,"Male","French"
"2446",9.2,18,27,"Female","English"
"2447",NA,8,51,"Female","Other"
"2448",NA,12.5,75,"Male","English"
"2449",8.7,19,25,"Female","English"
"2450",15.36,12,41,"Female","English"
"2451",10,16,23,"Male","English"
"2452",NA,9,45,"Female","English"
"2453",NA,14,37,"Female","English"
"2454",9,12,32,"Male","English"
"2455",7.97,10.3,29,"Male","English"
"2456",12.13,12.5,31,"Male","English"
"2457",7.06,15.5,23,"Male","English"
"2458",NA,12.5,39,"Female","English"
"2459",26.62,17.3,40,"Male","English"
"2460",NA,10,70,"Male","Other"
"2461",NA,12,37,"Female","English"
"2462",NA,14,55,"Male","Other"
"2463",NA,8,69,"Female","English"
"2464",NA,3,67,"Male","Other"
"2465",NA,5,74,"Male","English"
"2466",NA,13.6,37,"Male","English"
"2467",NA,8,55,"Female","English"
"2468",NA,13,19,"Male","English"
"2469",NA,10,52,"Male","English"
"2470",20.77,13,53,"Female","English"
"2471",20.16,12.5,30,"Male","English"
"2472",14.4,11,62,"Male","English"
"2473",NA,12,25,"Female","English"
"2474",6.72,10,18,"Male","English"
"2475",16.46,9.5,35,"Male","French"
"2476",NA,11,17,"Male","English"
"2477",NA,8,62,"Female","French"
"2478",NA,9,67,"Female","French"
"2479",NA,11.5,20,"Female","English"
"2480",10,15.2,25,"Female","English"
"2481",27.36,16,36,"Male","English"
"2482",15.84,13,61,"Female","English"
"2483",7.24,19,28,"Female","English"
"2484",10,12,22,"Female","English"
"2485",11.36,9,32,"Male","English"
"2486",7.5,12,21,"Male","English"
"2487",NA,15.5,75,"Male","English"
"2488",9.32,12.5,23,"Female","English"
"2489",34.56,19.2,51,"Female","English"
"2490",6.5,11.3,19,"Male","English"
"2491",6.75,15.3,24,"Male","English"
"2492",NA,8,59,"Male","English"
"2493",10.5,12,40,"Female","English"
"2494",13.44,9.5,38,"Female","English"
"2495",14.7,12.5,34,"Male","English"
"2496",NA,10.3,43,"Male","English"
"2497",17.01,13.6,32,"Female","French"
"2498",NA,13,25,"Female","English"
"2499",NA,12,77,"Male","English"
"2500",NA,8,59,"Male","Other"
"2501",NA,12,40,"Male","French"
"2502",30.46,11,57,"Male","English"
"2503",17,12,31,"Female","English"
"2504",49.92,20,41,"Female","English"
"2505",14,10.2,53,"Male","English"
"2506",45.38,18,36,"Male","English"
"2507",NA,8,64,"Female","English"
"2508",NA,3,62,"Female","Other"
"2509",NA,10,16,"Female","English"
"2510",16.96,19,28,"Female","English"
"2511",6.85,9.5,22,"Female","English"
"2512",NA,18,42,"Female","English"
"2513",NA,NA,55,"Female",NA
"2514",10.71,10,52,"Male","English"
"2515",11.54,NA,40,"Female","French"
"2516",NA,10,16,"Female","English"
"2517",NA,18,82,"Female","Other"
"2518",NA,12,67,"Male","English"
"2519",10,14.1,37,"Female","French"
"2520",10,10,30,"Female","English"
"2521",19.93,15,48,"Male","Other"
"2522",27.84,18,50,"Female","English"
"2523",NA,12,29,"Male","English"
"2524",10,14,43,"Female",NA
"2525",21.84,17,44,"Female","English"
"2526",27.14,17.2,28,"Male","Other"
"2527",NA,12,30,"Female","Other"
"2528",5.8,14,35,"Female","English"
"2529",NA,11,62,"Female","Other"
"2530",7,12,30,"Female","English"
"2531",15.36,12,39,"Female","English"
"2532",6.63,13.5,22,"Female","English"
"2533",15.3,11,56,"Male","English"
"2534",NA,13,62,"Male","Other"
"2535",4.88,12.6,20,"Male","English"
"2536",NA,18,22,"Male","English"
"2537",6.7,11,18,"Female","English"
"2538",NA,12.5,35,"Female","English"
"2539",NA,7,67,"Female","English"
"2540",22.22,9,23,"Male","English"
"2541",8,12,30,"Male",NA
"2542",NA,12,39,"Male","English"
"2543",NA,7,70,"Female","English"
"2544",6.4,10.8,18,"Female","English"
"2545",21.53,10.5,38,"Male","English"
"2546",16.32,10,58,"Female","English"
"2547",NA,12,43,"Male","Other"
"2548",NA,13.5,19,"Female","English"
"2549",NA,10,45,"Male","English"
"2550",14.4,14.3,30,"Female","English"
"2551",20.68,10,48,"Male","English"
"2552",14,12,23,"Male","English"
"2553",12.1,14,36,"Female","English"
"2554",15.51,11.3,32,"Male","English"
"2555",16.86,13.6,32,"Male","English"
"2556",NA,13,73,"Female","English"
"2557",23.04,15,33,"Female","English"
"2558",NA,0,19,"Female","English"
"2559",NA,11.2,20,"Male","French"
"2560",NA,12.1,38,"Female","French"
"2561",14,17.5,25,"Male","English"
"2562",13.07,11,51,"Female","Other"
"2563",NA,17,69,"Male","English"
"2564",NA,20,74,"Male","English"
"2565",16,13,37,"Female","Other"
"2566",6.79,12,35,"Female","English"
"2567",NA,12,82,"Female","English"
"2568",9,13.5,28,"Female","English"
"2569",9,10,38,"Female","English"
"2570",NA,11,30,"Female","English"
"2571",NA,NA,16,"Male",NA
"2572",NA,3,66,"Female","English"
"2573",NA,12,69,"Female","English"
"2574",20,13,57,"Male","English"
"2575",NA,12,47,"Female","English"
"2576",16,13.5,22,"Male","English"
"2577",27.31,17,44,"Male","English"
"2578",NA,6,86,"Female","English"
"2579",29.18,16,57,"Female","English"
"2580",6.9,10,60,"Male","English"
"2581",NA,12,32,"Male","English"
"2582",NA,10,41,"Female","English"
"2583",NA,14.1,35,"Male","English"
"2584",14.63,14,23,"Female","Other"
"2585",15.78,13.6,37,"Female","English"
"2586",24.96,16,37,"Male","English"
"2587",NA,8,63,"Female","Other"
"2588",21.06,15,59,"Female","English"
"2589",5.97,11.3,34,"Female","French"
"2590",25.72,8,57,"Male","Other"
"2591",18.41,16,28,"Male","English"
"2592",7,15.8,21,"Female","English"
"2593",NA,8,77,"Female","English"
"2594",15.79,19,38,"Male","Other"
"2595",10,8,54,"Female","English"
"2596",9.19,12,18,"Male","English"
"2597",19.2,12.6,33,"Male","English"
"2598",NA,12,29,"Female","English"
"2599",NA,8,85,"Female","English"
"2600",NA,12,30,"Female","English"
"2601",26.72,16,49,"Female","French"
"2602",10.26,13,31,"Female","English"
"2603",14.81,15,29,"Male","English"
"2604",7.5,12,38,"Female","English"
"2605",NA,11,81,"Female","English"
"2606",8.5,19,31,"Female","English"
"2607",16.5,12,37,"Male","English"
"2608",12.49,11,25,"Female","French"
"2609",10.47,11,29,"Male","French"
"2610",NA,17.8,38,"Male","English"
"2611",12,13,39,"Female","Other"
"2612",10,10,58,"Female","English"
"2613",NA,9,50,"Female","English"
"2614",25.26,15.5,48,"Female","English"
"2615",30,11,52,"Female","English"
"2616",NA,NA,38,"Female","Other"
"2617",12,12,34,"Female","English"
"2618",NA,16,64,"Male","English"
"2619",NA,12,19,"Female","English"
"2620",6.75,13,56,"Female","English"
"2621",NA,10,61,"Male","English"
"2622",8.99,10,18,"Female","English"
"2623",NA,NA,21,"Female","English"
"2624",NA,12,70,"Male","English"
"2625",NA,17,74,"Male","English"
"2626",NA,11.5,64,"Female","English"
"2627",NA,10,16,"Male","English"
"2628",NA,10,63,"Female","English"
"2629",NA,10,77,"Male","English"
"2630",3.41,16,22,"Female","English"
"2631",9.25,11,37,"Male","English"
"2632",NA,18,64,"Male","English"
"2633",NA,14.6,58,"Male","English"
"2634",NA,17.5,27,"Female","Other"
"2635",NA,11.8,49,"Female","English"
"2636",17.49,16,37,"Male","English"
"2637",20.11,14,39,"Female","English"
"2638",9.25,8,33,"Female","Other"
"2639",NA,19.3,47,"Male","Other"
"2640",NA,13.5,77,"Female","English"
"2641",16.16,17.5,32,"Female","English"
"2642",6.78,12,19,"Female","English"
"2643",NA,10,68,"Female","English"
"2644",NA,13,45,"Female","English"
"2645",10,10,48,"Female","English"
"2646",9.5,10,39,"Male","English"
"2647",NA,12,40,"Male","English"
"2648",NA,10,16,"Male","English"
"2649",NA,11,52,"Male","English"
"2650",NA,12,73,"Female","English"
"2651",NA,8,60,"Female","Other"
"2652",24.19,17,54,"Male","Other"
"2653",23.25,12,27,"Male","English"
"2654",NA,12,63,"Female","French"
"2655",24.96,17,32,"Male","English"
"2656",13.37,12,24,"Male","English"
"2657",NA,10,39,"Female","Other"
"2658",20.34,13,32,"Male","French"
"2659",7.85,13.5,25,"Female","Other"
"2660",17.41,13.3,35,"Female","English"
"2661",NA,13,51,"Male","English"
"2662",12.85,12,52,"Female","Other"
"2663",NA,11,22,"Female","English"
"2664",NA,11,16,"Male","English"
"2665",12,17,27,"Female","English"
"2666",17,12,30,"Male","English"
"2667",13,12,43,"Female","Other"
"2668",NA,7,71,"Female","Other"
"2669",NA,10,67,"Male","Other"
"2670",7.63,12,23,"Female","French"
"2671",NA,15,26,"Male","English"
"2672",10.87,12.5,34,"Male","Other"
"2673",22.75,14.4,28,"Male","English"
"2674",16,11,55,"Male","English"
"2675",8.5,13,50,"Female","English"
"2676",19.2,17,56,"Male","Other"
"2677",NA,2,81,"Male","English"
"2678",NA,0,72,"Male","Other"
"2679",24.48,17.1,37,"Male","English"
"2680",7.94,13,24,"Male","English"
"2681",10,13.1,18,"Male","English"
"2682",NA,12.1,20,"Male","English"
"2683",NA,14.5,21,"Female","English"
"2684",NA,11,34,"Male","English"
"2685",NA,8,68,"Male","English"
"2686",14.59,14,34,"Male","English"
"2687",17.9,16,27,"Male","English"
"2688",19.73,15,68,"Male","Other"
"2689",9,17.5,26,"Male","English"
"2690",NA,12.4,37,"Male","English"
"2691",NA,12,19,"Female","English"
"2692",NA,6.5,82,"Female","English"
"2693",11.44,17,22,"Male","Other"
"2694",37.88,19,36,"Male","English"
"2695",NA,8,83,"Male","English"
"2696",6.75,10.8,17,"Male","English"
"2697",9.5,12.9,22,"Female","English"
"2698",19.5,19.4,53,"Female","English"
"2699",11.64,11,33,"Male","English"
"2700",NA,14,69,"Female","English"
"2701",30.72,NA,45,"Male","French"
"2702",23.52,12,32,"Male","English"
"2703",NA,12,34,"Female","English"
"2704",9.6,12,45,"Female","English"
"2705",NA,10,67,"Male","French"
"2706",15.42,12.5,39,"Male","English"
"2707",NA,11,56,"Female","English"
"2708",20.64,18.5,37,"Female","English"
"2709",NA,9,71,"Female","English"
"2710",14.84,12,45,"Female","English"
"2711",12.53,12,26,"Male","English"
"2712",15.5,11,64,"Male","English"
"2713",10.45,13,31,"Female","English"
"2714",15.16,17,32,"Male","French"
"2715",8.57,15,37,"Male","English"
"2716",NA,20,77,"Male","Other"
"2717",10,12,50,"Female","English"
"2718",13.71,17,44,"Female","Other"
"2719",NA,9,61,"Male","English"
"2720",13.44,15,41,"Male","English"
"2721",9.5,12.4,44,"Female","English"
"2722",11.04,14,31,"Male","English"
"2723",NA,15,83,"Female","Other"
"2724",7.75,16.5,30,"Female","English"
"2725",NA,11,68,"Female","English"
"2726",10,10.6,45,"Female","English"
"2727",8.74,12,31,"Male","French"
"2728",25.64,19.1,35,"Male","English"
"2729",NA,12,84,"Female","English"
"2730",NA,9,46,"Female","English"
"2731",10.48,14,27,"Male","English"
"2732",NA,10,72,"Male","English"
"2733",9.86,15.5,22,"Female","English"
"2734",20.28,20,31,"Female","French"
"2735",10,13.5,45,"Female","English"
"2736",11.71,16.4,25,"Male","English"
"2737",NA,12,84,"Female","English"
"2738",NA,16,81,"Male","French"
