Event_id,cause_of_death,dataset,date,quarter,Date-month,Year,dead,dead_and_missing,description,latitude,location,longitude,latlong,missing,name,route,source,source_url
33840,Drowned,United,2012-08-25T00:00:00Z,3Q2012,2012 -- 8,2012,0,40,"drowned, 10 found, 30 missing after vessel from Tripoli (LY) capsized off Libyan coasts (Aug 25, 2012). From Del Grande's data set (translated): Wreck in front of the port of Bardia, lost at sea 39 Egyptians, a sole survivor (Aug 27, 2012)",32.876174,tripoli,13.187507,"32.876174, 13.187507",0,"Event at Tripoli on Aug 25, 2012",Central Mediteranean route,MNS/FE,http://fortresseurope.blogspot.com/2012/08/libia-39-egiziani-annegati-in-un.html
33841,Frozen,United,2012-08-22T00:00:00Z,3Q2012,2012 -- 8,2012,0,1,"stowaway, found in landing gear bay of plane at Heathrow (GB), travelled from South Africa  (Aug 22, 2012)",51.47238,heathrow,-0.45094,"51.47238, -0.45094",0,"Event at Heathrow on Aug 22, 2012",,Guardian Un./IRR,
33842,Drowned,United,2012-08-18T00:00:00Z,3Q2012,2012 -- 8,2012,0,39,"3 found, 36 missing after overcrowded boat sank near Libya coast on the way to Europe (Aug 18, 2012)",26.3351,libya,17.228331,"26.3351, 17.228331",0,"Event at Libya on Aug 18, 2012",Central Mediteranean route,WSLS10/FE,
33843,Drowned,United,2012-08-17T00:00:00Z,3Q2012,2012 -- 8,2012,0,1,"body found in Evros River (TR) reportedly was migrant trying to cross into GR from Turkey (Aug 17, 2012). From Del Grande's data set (translated): Found a dead body in the waters of the Evros River at the border between Turkey and Greece (Aug 18, 2012)",41.244376,evros,26.135943,"41.244376, 26.135943",0,"Event at Evros on Aug 17, 2012",Eastern Mediteranean route Land,FE,http://fortresseurope.blogspot.com/2012/08/grecia-crollano-gli-arrivi-un-morto.html
33844,Drowned,United,2012-08-15T00:00:00Z,3Q2012,2012 -- 8,2012,0,2,"drowned,reaching rescue ship after 4 days adrifting, dinghy from LY to Malta (Aug 15, 2012). From Del Grande's data set (translated): Landing in Malta, 2 passengers found dead aboard boat drifting by 4 days, 2 others drown during rescue operations (Aug 16, 2012)",35.937496,malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on Aug 15, 2012",Central Mediteranean route,FE/Ansamed,http://fortresseurope.blogspot.com/2012/08/malta-4-morti-in-mare.html
33847,,United,2012-08-09T00:00:00Z,3Q2012,2012 -- 8,2012,0,10,"missing, after boat of 24 migrants from Comoros capsized off the coast of Mayotte (F) (Aug 9, 2012)",-12.8275,mayotte,45.166244,"-12.8275, 45.166244",0,"Event at Mayotte on Aug 09, 2012",,VOA/UN/IRR,
33845,Drowned,United,2012-08-09T00:00:00Z,3Q2012,2012 -- 8,2012,0,6,"drowned, after boat of 24 migrants from Comoros capsized off the coast of Mayotte (F) (Aug 9, 2012)",-12.8275,mayotte,45.166244,"-12.8275, 45.166244",0,"Event at Mayotte on Aug 09, 2012",,VOA/UN/IRR,
33846,Drowned,United,2012-08-09T00:00:00Z,3Q2012,2012 -- 8,2012,0,1,"drowned, boat sunk off Melilla s coasts (E) (Aug 9, 2012)",35.292278,melilla,-2.938097,"35.292278, -2.938097",0,"Event at Melilla on Aug 09, 2012",Western Mediteranean route,FE/20Me,
33849,,United,2012-08-08T00:00:00Z,3Q2012,2012 -- 8,2012,0,27,"missing, after boat with 36 migrants from Anjouan (Comoros) sank off Mayotte coasts (F) (Aug 8, 2012)",-12.8275,mayotte,45.166244,"-12.8275, 45.166244",0,"Event at Mayotte on Aug 08, 2012",,Universal/AFP,
33848,Drowned,United,2012-08-08T00:00:00Z,3Q2012,2012 -- 8,2012,0,6,"drowned, after boat 36 migrants from Anjouan-Comoros sank off the coast of Mayotte (F) (Aug 8, 2012)",-12.8275,mayotte,45.166244,"-12.8275, 45.166244",0,"Event at Mayotte on Aug 08, 2012",,Universal/AFP/PICUM,
33850,Drowned,United,2012-07-31T00:00:00Z,3Q2012,2012 -- 7,2012,0,1,"drowned trying to swim ashore with a life-belt, body found on the beach in Melilla (E)  (Jul 31, 2012)",35.292278,melilla,-2.938097,"35.292278, -2.938097",0,"Event at Melilla on Jul 31, 2012",Western Mediteranean route,MUGAK/LV,
33851,Suicide - Hanged,United,2012-07-29T00:00:00Z,3Q2012,2012 -- 7,2012,0,1,"suicide, hanged himself in Rotherham park (GB) after residency application was rejected (Jul 29, 2012)",53.449038,"Rotherham park, UK",-1.2996,"53.449038, -1.2996",0,"Event at Rotherham Park, Uk on Jul 29, 2012",,IRR/Star,
33852,Drowned,United,2012-07-08T00:00:00Z,3Q2012,2012 -- 7,2012,0,79,"reportedly drowned while trying to reach the coast of Sicily (I), boat is still missing (Jul 8, 2012). From Del Grande's data set (translated): Shipwreck off Lampedusa, recovered a corpse, 79 passengers lost at sea (Sep 7, 2012)",35.508622,lampedusa,12.59292,"35.508622, 12.59292",0,"Event at Lampedusa on Jul 08, 2012",Central Mediteranean route,PICUM/MAS/LRP/FE,http://fortresseurope.blogspot.com/2012/09/naufragio-lampedusa-1-morto-e-40.html
33853,Frozen,United,2012-07-01T00:00:00Z,3Q2012,2012 -- 7,2012,0,1,"died of hypothermia in Health Centre of Soufli after crossing Evros River to enter Greece (Jul 1, 2012)",41.244376,evros,26.135943,"41.244376, 26.135943",0,"Event at Evros on Jul 01, 2012",Eastern Mediteranean route Land,PICUM/Skai,
77194,Police violence,,2012-06-29T00:00:00Z,2Q2012,2012 -- 6,2012,1,1,,14.4903,,35.8334,"14.4903, 35.8334",0,"Death of Mamadou Kamara on June 29, 2012",,ToM,
33854,,United,2012-06-29T00:00:00Z,2Q2012,2012 -- 6,2012,0,1,"asylum seeker, allegedly beaten to death in police custody in Safi (M);arrived dead in hospital (Jun 29, 2012)",32.310059,safi,-9.236617,"32.310059, -9.236617",0,"Event at Safi on Jun 29, 2012",,EUobserver/MaltaToday/MaltaStar/TimesM,
33855,,United,2012-06-28T00:00:00Z,2Q2012,2012 -- 6,2012,0,1,"died in a detention centre in Malta, presumably maltreated by Armed Forces while in custody (Jun 28, 2012)",35.937496,malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on Jun 28, 2012",Central Mediteranean route,TimesM/MaltaToday/FR-H,
33856,Drowned,United,2012-06-28T00:00:00Z,2Q2012,2012 -- 6,2012,0,1,"drowned, found in advanced state of decomposition, was from shipwreck off Leuca coast (I) (Jun 28, 2012). From Del Grande's data set (translated): They were hiding under a truck to board the Superfast ferry from Patras (Greece) to Ancona. But at the time of landing were found dead, suffocated on the way (Jun 23, 2012)",39.801,leuca,18.356944,"39.801, 18.356944",0,"Event at Leuca on Jun 28, 2012",Apulia & Calbria,LR/FE,
33857,Suffocated,United,2012-06-22T00:00:00Z,2Q2012,2012 -- 6,2012,0,2,"stowaways, died of asphyxiation and heat inside a truck on Greece to Ancona (I) ferry (Jun 22, 2012)",43.61583,ancona,13.518915,"43.61583, 13.518915",0,"Event at Ancona on Jun 22, 2012",,PICUM/Infomob/FE/LR,
33858,Drowned,United,2012-06-18T00:00:00Z,2Q2012,2012 -- 6,2012,0,6,"missing, reportedly drowned, small boat sailing from North Africa capsized off Leuca coast(I) (Jun 18, 2012)",39.801,leuca,18.356944,"39.801, 18.356944",0,"Event at Leuca on Jun 18, 2012",Apulia & Calbria,PICUM/LRB/FE/Infomob,
33859,,United,2012-06-11T00:00:00Z,2Q2012,2012 -- 6,2012,0,2,"died of dehydration on stricken vessel of 53 migrants then rescued off Moroccan coast (Jun 11, 2012)",31.791702,morocco,-7.09262,"31.791702, -7.09262",0,"Event at Morocco on Jun 11, 2012",Central Mediteranean route,FE,
33862,Drowned,United,2012-06-08T00:00:00Z,2Q2012,2012 -- 6,2012,0,31,"drowned, overcrowded boat from Ahmetbeyli (TR) sank off Aegean coat, 46 survivors (Jun 8, 2012)",37.99462,ahmetbeyli,27.188235,"37.99462, 27.188235",0,"Event at Ahmetbeyli on Jun 08, 2012",Eastern Mediteranean route Sea,Reu/AFP/Le Monde/Migreurop/SP/MNS/FE,
33861,Drowned,United,2012-06-08T00:00:00Z,2Q2012,2012 -- 6,2012,0,30,"drowned, overcrowded boat from Ahmetbeyli (TR) sank off Aegean coast, 46 survivors (Jun 8, 2012)",37.99462,ahmetbeyli,27.188235,"37.99462, 27.188235",0,"Event at Ahmetbeyli on Jun 08, 2012",Eastern Mediteranean route Sea,Reu/AFP/Le Monde/Migreurop/SP/MNS/FE,
33860,Drowned,United,2012-06-08T00:00:00Z,2Q2012,2012 -- 6,2012,0,64,"drowned, 1 found, 63 missing shipwreck near the island of Lampione (I) (Jun 8, 2012). From Del Grande's data set (translated): Shipwreck in Izmir on the route to the Greek Islands, 58 dead passengers (Sep 6, 2012)",38.41885,izmir,27.12872,"38.41885, 27.12872",0,"Event at Izmir on Jun 08, 2012",Eastern Mediteranean route Sea,MNS/FE/Migreurop,http://fortresseurope.blogspot.com/2012/09/turchia-naufragio-izmir-58-morti.html
33863,Suffocated,United,2012-06-01T00:00:00Z,2Q2012,2012 -- 6,2012,0,3,"stowaway, died of asphyxiation in truck on way to Igoumenitsa (GR), a port leading to Italy (Jun 1, 2012). From Del Grande's data set (translated): Found along the road to Igoumenitsa the lifeless bodies of three boys suffocated, probably abandoned by a trucker direct to the port of Igoumenitsa to the ferries to Italy (Feb 8, 2012)",39.50615,igoumenitsa,20.265534,"39.50615, 20.265534",0,"Event at Igoumenitsa on Jun 01, 2012",,PICUM/TVXS/MNS,http://fortresseurope.blogspot.com/2012/02/grecia-3-afghani-morti-asfissiati-in-un.html
33864,Drowned,United,2012-05-25T00:00:00Z,2Q2012,2012 -- 5,2012,0,20,"drowned, after an inflatable dinghy on way to Italy started to deflate off the coast of Lybia   (May 25, 2012). From Del Grande's data set (translated): At least 10 missing in the sea off the coast of Libya. Rescued by two merchant ships, the survivors were rejected (May 26, 2012)",26.3351,libya,17.228331,"26.3351, 17.228331",0,"Event at Libya on May 25, 2012",Central Mediteranean route,Migreurop/LRP,http://fortresseurope.blogspot.it/2012/05/10-dispersi-nel-canale-di-sicilia.html
33865,Drowned,United,2012-05-24T00:00:00Z,2Q2012,2012 -- 5,2012,0,10,"at least 10 people missing after dinghy from Libya to Italy capsized in the Sicilian Channel (May 24, 2012). From Del Grande's data set (translated): Found a corpse in the sea in front of the island of Streetlight, in Lampedusa (May 25, 2012)",35.508622,lampedusa,12.59292,"35.508622, 12.59292",0,"Event at Lampedusa on May 24, 2012",Central Mediteranean route,LR/Fe,http://fortresseurope.blogspot.it/2012/05/lampedusa-ritrovato-un-cadavere-in-mare.html
33866,Drowned,United,2012-05-24T00:00:00Z,2Q2012,2012 -- 5,2012,0,1,"body in advanced state of decomposition washed ashore off Lampione Island (I) (May 24, 2012)",35.551211,lampione,12.317398,"35.551211, 12.317398",0,"Event at Lampione on May 24, 2012",Central Mediteranean route,FE/ANSA,
33868,,United,2012-05-18T00:00:00Z,2Q2012,2012 -- 5,2012,0,15,"missing, after boat of 43 migrants sank off the coast of Mayotte (F) (May 18, 2012)",-12.8275,mayotte,45.166244,"-12.8275, 45.166244",0,"Event at Mayotte on May 18, 2012",,Le Monde/AFP/Migreurop,
33867,Drowned,United,2012-05-18T00:00:00Z,2Q2012,2012 -- 5,2012,0,5,"drowned, after boat of 43 migrants sank off the coast of Mayotte (F) (May 18, 2012)",-12.8275,mayotte,45.166244,"-12.8275, 45.166244",0,"Event at Mayotte on May 18, 2012",,Le Monde/AFP/Migreurop,
33869,,Del grande,2012-05-07T00:00:00Z,2Q2012,2012 -- 5,2012,0,7,"Landing on the island, the survivors tell of 7 passengers died of starvation during the journey, their bodies were abandoned at sea (May 8, 2012)",35.937496,malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on May 07, 2012",Central Mediteranean route,Times of Malta,http://fortresseurope.blogspot.co.uk/2012/05/malta-sbarco-sulla-spiaggia-dei-turisti.html
33870,Drowned,United,2012-05-06T00:00:00Z,2Q2012,2012 -- 5,2012,0,3,"drowned, shipwreck off Monastir (TN) on the way to Italy, border guards could save 22 (May 6, 2012). From Del Grande's data set (translated): Shipwreck off the coast of Monastir, recovered the bodies of three passengers in the boat directly in Sicily (Jul 6, 2012)",35.77718,monastir,10.8261,"35.77718, 10.8261",0,"Event at Monastir on May 06, 2012",Central Mediteranean route,TNNum,http://fortresseurope.blogspot.it/2012/07/tunisia-naufragio-monastir-3-morti-in.html
33871,Drowned,United,2012-05-02T00:00:00Z,2Q2012,2012 -- 5,2012,0,1,"drowned, body found floating in Tajo-Segura Channel, in the town of Torre-Pacheco (E) (May 2, 2012)",36.744421,torre,-4.092531,"36.744421, -4.092531",0,"Event at Torre on May 02, 2012",Western Mediteranean route,MUGAK/Raz,
33872,No medical treatment,United,2012-04-30T00:00:00Z,2Q2012,2012 -- 4,2012,0,1,"reportedly lack of medical help after asked for assistance in Barcelona s detention centre (E)  (Apr 30, 2012)",41.385064,barcelona,2.173403,"41.385064, 2.173403",0,"Event at Barcelona on Apr 30, 2012",Western Mediteranean route,IRR/MUGAK/LV/18Des/EP/EPress,
33873,Car accident,United,2012-04-28T00:00:00Z,2Q2012,2012 -- 4,2012,0,2,"died in car accident while trying to escape a FRONTEX control (Apr 28, 2012). From Del Grande's data set (translated): Tracking the border with Turkey, Lykofos. A car fleeing Frontex patrols loses control and crashes. The accident killed 3 people who were attempting to cross the border (Apr 29, 2012)",41.119673,lykofos,26.288073,"41.119673, 26.288073",0,"Event at Lykofos on Apr 28, 2012",Eastern Mediteranean route Land,Migreurop/KTG/TF1/PICUM/Clandestina/Age/Skai/Ta Nea/ERT,http://fortresseurope.blogspot.co.uk/2012/04/grecia-in-fuga-da-pattuglie-frontex-3.html
33874,Drowned,United,2012-04-27T00:00:00Z,2Q2012,2012 -- 4,2012,0,1,"drowned, after being thrown off a boat of 80 by smugglers when a patrol boat approached (Apr 27, 2012). From Del Grande's data set (translated): Landing at Licata, Agrigento, a sixteen year old drowns Egyptian (Apr 28, 2012)",37.31109,agrigento,13.576548,"37.31109, 13.576548",0,"Event at Agrigento on Apr 27, 2012",Central Mediteranean route,Migreurop/LRP,http://fortresseurope.blogspot.co.uk/2012/04/sicilia-sedicenne-annegato-in-uno.html
33875,Drowned,United,2012-04-25T00:00:00Z,2Q2012,2012 -- 4,2012,0,1,"drowned, after being thrown overboard by smugglers dozens of meters from Calabria s coast (Apr 25, 2012)",39.308771,calabria,16.346379,"39.308771, 16.346379",0,"Event at Calabria on Apr 25, 2012",Apulia & Calbria,LR/Migreurop/PUCUM/FE,
33877,Starvation,Del grande,2012-04-03T00:00:00Z,2Q2012,2012 -- 4,2012,0,10,"Drifting boat rescued off Lampedusa, the survivors tell of 10 passengers died of starvation during the journey and abandoned at sea (Apr 4, 2012)",35.508622,lampedusa,12.59292,"35.508622, 12.59292",0,"Event at Lampedusa on Apr 03, 2012",Central Mediteranean route,AGI,http://fortresseurope.blogspot.co.uk/2012/04/sicilia-10-dispersi-nella-traversata.html
33878,,United,2012-03-30T00:00:00Z,1Q2012,2012 -- 3,2012,0,10,"died from dehydration on a rubber dinghy of 58 migrants during the voyage from Libya to I (Mar 30, 2012)",26.3351,libya,17.228331,"26.3351, 17.228331",0,"Event at Libya on Mar 30, 2012",Central Mediteranean route,Migreurop/AFP,
33879,,United,2012-03-28T00:00:00Z,1Q2012,2012 -- 3,2012,0,1,"body found in an advanced state of decay in the rural area of Tichero, Evros Prefecture (GR) (Mar 28, 2012)",41.244376,evros,26.135943,"41.244376, 26.135943",0,"Event at Evros on Mar 28, 2012",Eastern Mediteranean route Land,PICUM/Age/Clandestina,
33880,Drowned,United,2012-03-16T00:00:00Z,1Q2012,2012 -- 3,2012,0,1,"drowned while trying to cross Evros River to enter GR, body found in area of Nea Vissa (Mar 16, 2012)",41.244376,evros,26.135943,"41.244376, 26.135943",0,"Event at Evros on Mar 16, 2012",Eastern Mediteranean route Land,PICUM/Age,
33881,,United,2012-03-15T00:00:00Z,1Q2012,2012 -- 3,2012,0,5,"found in boat of 57 on way to Lampedusa (I) rescued by Italian authorities in Libian waters (Mar 15, 2012). From Del Grande's data set (translated): 5 found dead in a boat rescued 70 miles off Lampedusa (Mar 17, 2012)",35.508622,lampedusa,12.59292,"35.508622, 12.59292",0,"Event at Lampedusa on Mar 15, 2012",Central Mediteranean route,PICUM/LR/jW,http://fortresseurope.blogspot.com/2012/03/lampedusa-5-morti-su-una-barca-soccorsa.html
33882,Drowned,United,2012-03-14T00:00:00Z,1Q2012,2012 -- 3,2012,0,1,"drowned while trying to cross Evros River to enter GR, body found near river in area of Soufli (Mar 14, 2012)",41.244376,evros,26.135943,"41.244376, 26.135943",0,"Event at Evros on Mar 14, 2012",Eastern Mediteranean route Land,PICUM,
33883,,United,2012-02-29T00:00:00Z,1Q2012,2012 -- 2,2012,0,1,"undocumented migrant found in container which he used as shelter close to Thiva (GR) (Feb 29, 2012)",38.322579,thiva,23.320431,"38.322579, 23.320431",0,"Event at Thiva on Feb 29, 2012",Eastern Mediteranean route Sea,PICUM,
33884,Frozen,United,2012-02-28T00:00:00Z,1Q2012,2012 -- 2,2012,0,1,"died of hypothermia, body found in a warehouse in the area of Korinthia (GR) (Feb 28, 2012)",38.002298,korinthia,22.524509,"38.002298, 22.524509",0,"Event at Korinthia on Feb 28, 2012",Eastern Mediteranean route Sea,PICUM/Proto,
33885,,United,2012-02-28T00:00:00Z,1Q2012,2012 -- 2,2012,0,2,"young girl and her grandfather missing after boat overturned while crossing Evros River (GR) (Feb 28, 2012)",41.244376,evros,26.135943,"41.244376, 26.135943",0,"Event at Evros on Feb 28, 2012",Eastern Mediteranean route Land,PICUM/Infomob/Ta Nea/Skai,
33888,Drowned,United,2012-02-20T00:00:00Z,1Q2012,2012 -- 2,2012,0,1,"drowned while trying to enter Ceuta (E) by swimming along the coast from Morocco  (Feb 20, 2012). From Del Grande's data set (translated): The Moroccan police found the corpse of a drowned boy trying to bypass the border with Ceuta swimming (Feb 22, 2012)",35.888384,ceuta,-5.324636,"35.888384, -5.324636",0,"Event at Ceuta on Feb 20, 2012",Western Mediteranean route,MUGAK/ElDia,http://fortresseurope.blogspot.com/2012/02/ceuta-muore-tentando-di-passare-la.html
33887,Frozen,United,2012-02-20T00:00:00Z,1Q2012,2012 -- 2,2012,0,1,"died of hypothermia while trying to leave TR via Evros River, body found near Orestiada (GR) (Feb 20, 2012)",41.244376,evros,26.135943,"41.244376, 26.135943",0,"Event at Evros on Feb 20, 2012",Eastern Mediteranean route Land,PICUM/Infomob/Skai/Clandestina,
33886,,United,2012-02-20T00:00:00Z,1Q2012,2012 -- 2,2012,0,1,"body found by border guards in the Evros River (GR) (Feb 20, 2012)",41.244376,evros,26.135943,"41.244376, 26.135943",0,"Event at Evros on Feb 20, 2012",Eastern Mediteranean route Land,MNS,
33889,Suffocated,United,2012-02-04T00:00:00Z,1Q2012,2012 -- 2,2012,0,1,"stowaway, suffocated in a truck into which he had hidden to avoid the border police checks (Feb 4, 2012). From Del Grande's data set (translated): Venice, found dead an Afghan boy hidden aboard a ferry line started from Greece (May 2, 2012)",45.440847,venice,12.315515,"45.440847, 12.315515",0,"Event at Venice on Feb 04, 2012",,Migreurop/PICUM/AdnK/MP,http://fortresseurope.blogspot.co.uk/2012/04/ragazzi-di-tunisi-dispersi-al-largo-di.html
33891,Drowned,United,2012-02-02T00:00:00Z,1Q2012,2012 -- 2,2012,0,2,"drowned, bodies carrying life jacket found in the sea near the Bay of Melilla (E) (Feb 2, 2012). From Del Grande's data set (translated): Found at the entrance of the port of Melilla, the bodies of two young men drowned (Mar 2, 2012)",35.292278,melilla,-2.938097,"35.292278, -2.938097",0,"Event at Melilla on Feb 02, 2012",Western Mediteranean route,MUGAK/Raz/Diario de Noticias/ElDia/SUR/VDG,http://fortresseurope.blogspot.com/2012/03/spagna-morti-annegati-2-ragazzi-melilla.html
33890,,Del grande,2012-02-02T00:00:00Z,1Q2012,2012 -- 2,2012,0,29,"The Spanish Civil Guard claims to have recovered in the waters of the Strait of Gibraltar, the bodies of 29 castaways in 2011 (Feb 3, 2012)",36.140751,gibraltar,-5.353585,"36.140751, -5.353585",0,"Event at Gibraltar on Feb 02, 2012",Western Mediteranean route,Abc,http://fortresseurope.blogspot.com/2012/02/spagna-29-cadaveri-ripescati-in-mare.html
33892,Suffocated,United,2012-01-31T00:00:00Z,1Q2012,2012 -- 1,2012,0,1,"died from smoke inhalation from fire lit in tin can to keep warm inside abandoned truck (GR) (Jan 31, 2012)",39.074208,Greece,21.824312,"39.074208, 21.824312",0,"Event at Greece on Jan 31, 2012",,MNS/PICUM,
33893,Frozen,United,2012-01-29T00:00:00Z,1Q2012,2012 -- 1,2012,0,1,"died of hypothermia trying to cross Evros River (GR) with 14 migrants who were rescued (Jan 29, 2012). From Del Grande's data set (translated): One dead and six missing in the waters of the Evros River at the border between Turkey and Greece (Jan 30, 2012)",41.244376,evros,26.135943,"41.244376, 26.135943",0,"Event at Evros on Jan 29, 2012",Eastern Mediteranean route Land,PICUM/Clandestina/Skai/ToV,http://fortresseurope.blogspot.com/2012/01/grecia-un-morto-e-6-dispersi-sul.html
33895,Suicide - Hanged,United,2012-01-28T00:00:00Z,1Q2012,2012 -- 1,2012,0,1,"suicide, hanged himself with a sheet in asylum seekers centre in Würzburg (D) (Jan 28, 2012)",49.791595,wurzburg,9.953571,"49.791595, 9.953571",0,"Event at Wurzburg on Jan 28, 2012",,FR-BW/INDd/ARD/,
33894,Suicide - Hanged,United,2012-01-28T00:00:00Z,1Q2012,2012 -- 1,2012,0,1,"suicide, found hanged in asylum seekers house in Wurzburg (D), was in cure for depression (Jan 28, 2012)",49.791595,wurzburg,9.953571,"49.791595, 9.953571",0,"Event at Wurzburg on Jan 28, 2012",,HRS/SD/MainP/U4IB/SOS/Karawane,
33896,,Del grande,2012-01-27T00:00:00Z,1Q2012,2012 -- 1,2012,0,5,"Were hidden in a truck headed to the place of embarkation for the Italian coast, while 5 have died in a road accident (Jan 28, 2012)",44.348399,italian coast,9.234647,"44.348399, 9.234647",0,"Event at Italian Coast on Jan 27, 2012",,AFP,http://fortresseurope.blogspot.com/2012/01/grecia-5-morti-sulla-rotta-per-litalia.html
33897,Drowned,United,2012-01-24T00:00:00Z,1Q2012,2012 -- 1,2012,0,55,"drowned, after their vessel of 55 migrants sank, bodies found off the coast of Misrata (LY) (Jan 24, 2012). From Del Grande's data set (translated): 15 corpses found in the waters between Zliten and Misrata after the wreck last week, still lost at sea 40 of the 55 passengers (Jan 28, 2012)",32.374298,misrata,15.09492,"32.374298, 15.09492",0,"Event at Misrata on Jan 24, 2012",Central Mediteranean route,MNS,http://fortresseurope.blogspot.com/2012/01/libia-ritrovati-15-corpi-dopo-il.html
33898,,Del grande,2012-01-21T00:00:00Z,1Q2012,2012 -- 1,2012,0,2,"A man and a woman killed by Egyptian border police gunfire to the border with Israel in Sinai (Jan 22, 2012)",24.088938,"Sinai, Egypt",32.899829,"24.088938, 32.899829",0,"Event at Sinai, Egypt on Jan 21, 2012",,Reuters,http://fortresseurope.blogspot.com/2012/01/egitto-un-uomo-e-una-donna-uccisi-nel.html
33899,,United,2012-01-21T00:00:00Z,1Q2012,2012 -- 1,2012,0,1,"body found floating in an advanced state of decomposition 7 miles from Cabo de Palos (E) (Jan 21, 2012)",37.22813,palos,-6.890386,"37.22813, -6.890386",0,"Event at Palos on Jan 21, 2012",Western Mediteranean route,MUGAK/Verdad,
33900,,Del grande,2012-01-19T00:00:00Z,1Q2012,2012 -- 1,2012,0,4,"Found the bodies of four people drowned in Nador and Melilla trying to swim across the border with the Spanish enclave of Melilla, Morocco (Jan 20, 2012)",35.292278,melilla,-2.938097,"35.292278, -2.938097",0,"Event at Melilla on Jan 19, 2012",Western Mediteranean route,Abcds,http://fortresseurope.blogspot.com/2012/01/marocco-4-ragazzi-annegati-tra-nador-e.html
33903,,United,2012-01-14T00:00:00Z,1Q2012,2012 -- 1,2012,0,40,"missing after shipwreck of a boat part of a group of 4 boats on the way from LY to I (Jan 14, 2012)",26.3351,libya,17.228331,"26.3351, 17.228331",0,"Event at Libya on Jan 14, 2012",Central Mediteranean route,PICUM/FE/TimesM/AFP/jW,
33902,,United,2012-01-14T00:00:00Z,1Q2012,2012 -- 1,2012,0,1,"found dead alone in shipwrecked boat that was part of group of 4 boats on way from LY to I (Jan 14, 2012)",26.3351,libya,17.228331,"26.3351, 17.228331",0,"Event at Libya on Jan 14, 2012",Central Mediteranean route,PICUM/FE/TimesM/AFP/jW,
33901,,United,2012-01-14T00:00:00Z,1Q2012,2012 -- 1,2012,0,15,"bodies found on Libyan beaches after shipwreck of boat part of 4 boats group on way to I (Jan 14, 2012). From Del Grande's data set (translated): Found off the coast of Khums a boat carrying a corpse. It is a boat that was reported missing from a week. No trace of the other 54 passengers on board, feared drowned in sea (Jan 17, 2012)",26.3351,libyan,17.228331,"26.3351, 17.228331",0,"Event at Libyan on Jan 14, 2012",Central Mediteranean route,PICUM/FE/TimesM/AFP/jW,http://fortresseurope.blogspot.com/2012/01/libia-55-dispersi-sulla-rotta-per.html
33905,,United,2012-01-09T00:00:00Z,1Q2012,2012 -- 1,2012,0,1,"fell from 5th floor escaping police controlling for noise at birthday party, was undocumented (Jan 9, 2012)",35.126413,cyprus,33.429859,"35.126413, 33.429859",0,"Event at Cyprus on Jan 09, 2012",,CypMail,
33904,Drowned,Del grande,2012-01-09T00:00:00Z,1Q2012,2012 -- 1,2012,0,1,"Found the body of a young man drowned trying to swim around the border of Melilla, the Spanish enclave in Morocco, at the height of Horcas Coloradas (Jan 10, 2012)",35.292278,melilla,-2.938097,"35.292278, -2.938097",0,"Event at Melilla on Jan 09, 2012",Western Mediteranean route,Sur,http://fortresseurope.blogspot.com/2012/01/melilla-ritrovato-un-cadavere-horcas.html
33906,,United,2012-01-04T00:00:00Z,1Q2012,2012 -- 1,2012,0,7,"died in a boat during a week-long voyage from LY to Malta, boat came ashore at Riviera Bay (Jan 4, 2012)",35.937496,malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on Jan 04, 2012",Central Mediteranean route,UNHCR,
33908,Drowned,United,2012-01-03T00:00:00Z,1Q2012,2012 -- 1,2012,0,1,"drowned,reaching rescue ship; on boat on way LY-I.Was Olympia athlete facing death threats (Jan 3, 2012)",26.3351,libya,17.228331,"26.3351, 17.228331",0,"Event at Libya on Jan 03, 2012",Central Mediteranean route,BBC/Gulf/SP/WIK/IlMess,
33909,Drowned,United,2012-01-03T00:00:00Z,1Q2012,2012 -- 1,2012,0,6,"drowned, reaching rescuing ship after boat from LY run out of petrol in Sicilian Channel (I) (Jan 3, 2012)",37.599994,sicily,14.015356,"37.599994, 14.015356",0,"Event at Sicily on Jan 03, 2012",Central Mediteranean route,BBC,
33907,Suffocated,Del grande,2012-01-03T00:00:00Z,1Q2012,2012 -- 1,2012,0,1,"He died of asphyxiation a young Afghan hidden inside a truck in Patras, the port of embarkation of trucks traveling to Italy (Jan 4, 2012)",38.24664,patras,21.734574,"38.24664, 21.734574",0,"Event at Patras on Jan 03, 2012",,Kathimerini,http://fortresseurope.blogspot.com/2011/01/nel-camion-si-erano-nascosti-in-tre-per.html
33910,Suicide - other,United,2012-01-01T00:00:00Z,1Q2012,2012 -- 1,2012,0,1,"suicide, killed himself a few hours before the delay given to him to leave Belgium was expired (Jan 1, 2012)",50.503887,belgium,4.469936,"50.503887, 4.469936",0,"Event at Belgium on Jan 01, 2012",,MNS,
33913,,United,2011-12-31T00:00:00Z,4Q2011,2011 -- 12,2011,0,2,"missing after they tried to cross the river Evros between GR and TR, part of a group of 15 (Dec 31, 2011)",41.244376,evros,26.135943,"41.244376, 26.135943",0,"Event at Evros on Dec 31, 2011",Eastern Mediteranean route Land,CMau/KI,
