"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"East Asia & Pacific (all income levels)","EAS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","571488","510678","475815","490258","476334","519923","528467","566111","584455","703247","664108","618883","579665","515361","528773","538676","562099","499271","489525","514077","519221","517098","521925","587079","",
"Europe & Central Asia (developing only)","ECA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28000","31113","613215","672121","638102","570574","558662","556470","647860","671046","445047","419769","386012","361322","361394","315766","255035","152113","170696","158157","134998","132218","372581","712653","",
"Europe & Central Asia (all income levels)","ECS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1439045","1488231","2992856","3175065","3080064","2959592","3215507","2896284","2660934","2673582","2281109","2285748","2327511","2245203","2127964","1892093","1739173","1589866","1636037","1649545","1610871","1560846","1797327","1779879","",
"Ecuador","ECU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","510","280","204","238","244","202","211","227","248","314","1602","1715","3240","6381","8450","10063","11789","264907","101398","116557","121249","123436","123824","123133","",
"Egypt, Arab Rep.","EGY","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1991","2245","5509","6712","7223","5407","6035","6493","6276","6553","6840","7230","80494","88749","90343","88946","88022","97556","97861","94406","95056","95087","109933","230086","",
"Euro area","EMU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1119112","1103271","1615264","1830111","1798725","1690426","1745548","1531494","1352505","1383776","1260117","1256933","1328112","1304927","1221580","1045387","955391","935144","967056","1012282","1024784","1022620","1058069","698748","",
"Eritrea","ERI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","706","1083","2106","2606","2501","2972","1984","2272","3619","3889","4240","4418","4621","5042","4862","4751","4809","4719","3600","3166","",
"Spain","ESP","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8303","4003","4036","4997","5361","5852","5688","5532","5939","6714","6987","6806","6780","5900","5686","5374","5275","5147","4661","3970","3820","4228","4510","4637","",
"Estonia","EST","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","11","10","12","11","7","5","18","22","24","39","50","63","70","",
"Ethiopia","ETH","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","773764","529620","431824","272631","348074","393479","390528","323067","262160","257689","197959","152554","132940","130274","115980","100817","96980","85183","83583","121886","154295","288844","376393","433936","",
