pincode,lat,lon,place
400055,-0.16485895,0.33383012,"Anandnagm, Mumbai"
400055,-0.16485895,0.33383012,"Aram Co-Op Housing Soc, Mumbai"
400055,-0.16485895,0.33383012,"Ashok Nagar, Mumbai"
400055,-0.16485895,0.33383012,"Augustin Wadi, Mumbai"
400055,-0.16485895,0.33383012,"B.E.S.T. Quarters, Mumbai"
400055,-0.16485895,0.33383012,"Bhatia Glass Coumpound, Mumbai"
400055,-0.16485895,0.33383012,"Bimlesh Compound, Mumbai"
400055,-0.16485895,0.33383012,"Bulsory Road, Mumbai"
400055,-0.16485895,0.33383012,"Bulsory Wadi Colony, Mumbai"
400055,-0.16485895,0.33383012,"Datta Mandir Road Vakola, Mumbai"
400055,-0.16485895,0.33383012,"Dauri Nagar, Mumbai"
400055,-0.16485895,0.33383012,"Dhuru Nagar, Mumbai"
400055,-0.16485895,0.33383012,"Dmello Compound, Mumbai"
400055,-0.16485895,0.33383012,"Gaodevi, Mumbai"
400055,-0.16485895,0.33383012,"Golibar, Mumbai"
400055,-0.16485895,0.33383012,"Golibar Road, Mumbai"
400055,-0.16485895,0.33383012,"Govt Quarters, Mumbai"
400055,-0.16485895,0.33383012,"Hasnabad Lane 1 & 2, Mumbai"
400055,-0.16485895,0.33383012,"Indira Nagar, Mumbai"
400055,-0.16485895,0.33383012,"Khandwala Compound, Mumbai"
400055,-0.16485895,0.33383012,"Madras Zopadpatti, Mumbai"
400055,-0.16485895,0.33383012,"Masjid Road, Mumbai"
400055,-0.16485895,0.33383012,"Mumabai Wadi, Mumbai"
400055,-0.16485895,0.33383012,"Nariel Waid S C East, Mumbai"
400055,-0.16485895,0.33383012,"Nehru Road Santacruz East, Mumbai"
400055,-0.16485895,0.33383012,"Nehrunagar S Cruz East, Mumbai"
400055,-0.16485895,0.33383012,"New Agripada, Mumbai"
400055,-0.16485895,0.33383012,"New Railway Quarters, Mumbai"
400055,-0.16485895,0.33383012,"Philip Wadi, Mumbai"
400055,-0.16485895,0.33383012,"Pipe Line, Mumbai"
400055,-0.16485895,0.33383012,"Prabhat Colony, Mumbai"
400055,-0.16485895,0.33383012,"Pratiraksha Nagar, Mumbai"
400055,-0.16485895,0.33383012,"Private Road, Mumbai"
400055,-0.16485895,0.33383012,"Pusalkar Wadi, Mumbai"
400055,-0.16485895,0.33383012,"Rd No 1 To 12, Mumbai"
400055,-0.16485895,0.33383012,"Santacruz East, Mumbai"
400055,-0.16485895,0.33383012,"Santacruz Rly Statiom Col, Mumbai"
400055,-0.16485895,0.33383012,"Santacruz Road No 1 To 12, Mumbai"
400055,-0.16485895,0.33383012,"Santacruz Vakola, Mumbai"
400055,-0.16485895,0.33383012,"Sen Nagar Rly Colony, Mumbai"
400055,-0.16485895,0.33383012,"Senapati Bapat Marg, Mumbai"
400055,-0.16485895,0.33383012,"Sevasadan Road, Mumbai"
400055,-0.16485895,0.33383012,"Shantinagar, Mumbai"
400055,-0.16485895,0.33383012,"Shastri Nagar Santacruz E, Mumbai"
400055,-0.16485895,0.33383012,"Shivaji Nagar, Mumbai"
400055,-0.16485895,0.33383012,"Sidharth Nagar, Mumbai"
400055,-0.16485895,0.33383012,"Tobela Road, Mumbai"
400055,-0.16485895,0.33383012,"Vaishali Camp, Mumbai"
400055,-0.16485895,0.33383012,"Vakola Bridge, Mumbai"
400055,-0.16485895,0.33383012,"Vakola Pipe Line, Mumbai"
400055,-0.16485895,0.33383012,"Vakola Road, Mumbai"
400055,-0.16485895,0.33383012,"Vijay Nagar, Mumbai"
400055,-0.16485895,0.33383012,"Vinsilva Nagar, Mumbai"
400055,-0.16485895,0.33383012,"Vivekarandnagar, Mumbai"
