,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,South Africa,,Aggregate HPI,,
1991:Q1,40.21,42.41,59.13,109.45,88.55,38.01,33.91,63.71,49.54,37.46,19.32,54.37,164.68,87.64,38.85,29.02,42.57,37.88,57.03,48.12,17.69,,66.25,,
1991:Q2,40.67,42.38,59.16,109.97,89.42,38.33,35.41,60.72,49.98,37.28,19.08,56.20,165.39,89.54,39.71,29.42,42.02,37.36,56.45,48.43,18.44,,66.78,,
1991:Q3,41.94,43.42,60.80,112.85,90.32,38.41,36.11,57.91,50.13,37.22,19.60,58.05,164.85,89.32,40.60,29.72,41.19,37.30,56.51,48.41,19.16,,67.02,,
1991:Q4,41.80,44.42,61.63,110.25,91.30,38.62,37.89,56.89,50.10,37.38,19.95,59.13,163.83,87.07,41.52,30.61,41.57,37.11,56.77,49.20,19.70,,67.38,,
1992:Q1,41.61,45.47,61.48,108.19,92.38,38.32,36.11,53.90,49.10,37.05,19.91,59.61,161.97,84.77,43.49,31.77,41.49,37.15,54.03,49.60,19.79,,67.17,,
1992:Q2,41.75,46.71,61.29,107.61,93.43,38.19,35.29,51.22,48.88,36.12,19.83,60.66,159.96,82.41,44.24,30.89,41.25,37.33,52.47,49.56,19.43,,66.81,,
1992:Q3,41.79,46.99,61.16,104.03,94.46,37.72,35.01,49.08,48.61,35.54,19.76,61.97,157.77,81.77,44.69,32.90,41.48,37.58,50.82,50.03,19.29,,66.77,,
1992:Q4,42.11,47.20,61.76,103.43,95.48,36.65,35.02,48.43,48.43,34.69,19.90,62.29,155.77,81.68,44.79,33.15,41.09,38.11,48.03,50.38,19.78,,66.70,,
1993:Q1,42.62,47.73,62.92,102.15,96.43,36.11,34.87,45.73,48.23,35.04,20.04,62.14,153.81,81.02,43.73,33.55,39.44,38.32,46.00,50.43,20.10,,66.54,,
1993:Q2,42.83,49.26,63.25,101.78,97.47,35.80,35.13,45.11,48.11,35.25,20.16,62.05,152.14,79.96,43.66,34.32,41.18,38.73,45.42,50.87,20.25,,66.62,,
1993:Q3,42.92,49.70,64.52,98.47,98.50,37.73,35.31,46.37,47.95,35.39,20.10,61.63,150.93,79.27,43.69,35.26,42.46,39.42,45.09,51.20,20.70,,66.72,,
1993:Q4,43.31,51.06,64.59,98.91,99.51,39.79,35.61,45.49,47.91,35.25,20.72,60.97,149.82,78.85,43.75,36.20,43.51,40.29,46.19,51.70,21.13,,66.90,,
1994:Q1,43.79,51.90,64.62,100.77,100.80,42.05,35.52,47.44,48.11,35.80,21.46,60.02,148.92,78.65,44.33,37.26,44.70,41.55,47.11,52.08,21.70,,67.14,,
1994:Q2,44.29,53.05,65.22,100.50,101.70,42.00,35.05,46.80,48.06,36.17,21.07,59.67,148.10,78.35,44.47,37.87,44.71,43.16,47.71,52.34,22.53,,67.26,,
1994:Q3,44.95,53.75,65.26,100.56,102.47,41.61,35.54,46.74,47.83,36.19,21.67,59.57,147.53,78.59,44.58,39.25,46.57,44.71,48.19,52.50,23.18,,67.41,,
1994:Q4,44.80,53.91,65.64,99.11,103.10,42.07,35.83,45.89,47.79,36.51,20.66,59.62,146.97,78.58,44.60,38.96,47.86,45.86,48.06,52.52,23.56,,67.44,,
1995:Q1,45.26,54.77,65.13,98.04,103.59,43.04,36.72,45.06,47.72,36.35,21.68,60.05,146.57,78.34,44.18,39.10,48.74,46.20,48.16,52.83,24.05,,67.60,,
1995:Q2,44.85,55.21,63.62,96.92,103.98,44.55,37.25,45.44,47.59,36.58,22.36,60.27,145.97,78.42,44.36,39.28,49.54,46.94,48.21,53.66,24.49,,67.89,,
1995:Q3,44.97,56.20,62.80,95.91,104.23,45.82,37.23,44.44,47.27,36.32,22.78,60.44,145.25,78.54,44.73,39.85,50.31,48.37,47.65,54.41,24.59,,68.10,,
1995:Q4,44.93,57.08,62.68,94.51,104.35,47.04,37.73,44.52,47.44,36.39,23.37,60.22,144.58,78.41,45.24,41.04,50.67,49.84,47.60,54.92,24.72,,68.28,,
