date,latitude,longitude,depth,magnitude
1918-07-08T17:22:00.000Z,24.809,90.725,15,7.5
1918-08-15T19:18:00.000Z,5.653,123.563,35,8.2
1918-09-08T00:15:00.000Z,46.812,150.253,242.4,7.6
1918-10-11T21:14:00.000Z,18.473,-67.631,35,7.3
1918-10-28T00:06:00.000Z,-1.121,150.278,35,7.2
1918-11-08T12:38:00.000Z,43.816,152.775,63.5,7.5
1918-11-19T02:41:00.000Z,-7.168,129.21,35,7.5
1918-11-24T06:57:00.000Z,-8.283,126.567,217.9,7.1
1918-12-04T19:47:00.000Z,-27.275,-73.464,25,7.5
1919-01-01T09:33:00.000Z,7.184,126.937,35,7.1
1919-01-01T11:00:00.000Z,-19.971,-177.914,202.7,7.7
1919-03-02T11:26:00.000Z,-41.401,-72.222,15,7.2
1919-03-02T19:45:00.000Z,-42.284,-76.452,15,7.1
1919-04-30T14:17:00.000Z,-18.42,-173.43,35,8.2
1919-05-03T07:52:00.000Z,41.007,145.233,35,7.3
1919-05-07T02:40:00.000Z,-5.477,152.629,232.8,7.6
1919-06-01T13:51:00.000Z,27.074,123.315,35,7.1
1919-09-01T00:20:00.000Z,-15.88,167.337,35,7.3
1919-12-21T03:33:00.000Z,22.5,122.5,35,7.1
1920-02-02T19:22:00.000Z,-6.474,151.685,35,7.6
1920-02-23T01:35:00.000Z,47.25,146.238,355.1,7.1
1920-06-05T11:21:00.000Z,23.813,122.08,35,7.9
1920-09-20T21:39:00.000Z,-19.919,168.53,35,7.8
1920-10-18T15:11:00.000Z,45.548,149.401,35,7.1
1920-12-10T12:25:00.000Z,-39.456,-74.988,35,7.2
1920-12-16T20:05:00.000Z,36.601,105.317,25,8
1921-02-04T16:22:00.000Z,15.411,-90.78,35,7.4
1921-02-28T02:23:00.000Z,-18.647,-173.185,35,7.1
1921-03-28T14:49:00.000Z,13.356,-87.361,35,7.2
1921-04-02T16:36:00.000Z,23,123,35,7.2
1921-07-04T21:18:00.000Z,28.885,129.915,35,7.4
1921-09-11T11:01:00.000Z,-13.095,110.177,25,7.3
1921-10-20T13:03:00.000Z,-20.06,-68.956,113.6,7.2
1921-11-12T02:36:00.000Z,7.897,127.257,35,7.3
1921-11-16T04:36:00.000Z,36.116,70.724,152.1,7.6
1921-12-18T23:29:00.000Z,-4.043,-71.223,544.8,7.5
1922-01-06T22:10:00.000Z,-20.408,-76.389,25,7.1
1922-01-17T11:50:00.000Z,-6.482,-71.859,358.5,7.4
1922-01-31T21:17:00.000Z,40.7,-125.553,15,7.2
1922-03-04T21:07:00.000Z,52.924,157.181,241.4,7.1
1922-03-28T10:58:00.000Z,-21.454,-68.13,136.4,7.1
1922-09-02T02:16:00.000Z,24.506,122.04,35,7.5
1922-09-15T02:31:00.000Z,24.378,122.644,35,7.1
1922-10-11T21:50:00.000Z,-16.125,-72.385,160,7.6
1922-10-25T04:21:00.000Z,47.267,152.19,35,7.3
1922-11-08T07:00:00.000Z,-28.441,-72.193,25,7.1
1922-11-11T12:32:00.000Z,-28.553,-70.755,35,8.7
1922-12-06T21:55:00.000Z,36.445,70.939,239.9,7.3
1923-01-22T17:04:00.000Z,40.487,-125.324,15,7.1
1923-02-02T13:07:00.000Z,54.019,161.521,35,7.1
1923-02-04T00:01:00.000Z,53.853,160.761,35,8.5
1923-02-24T15:34:00.000Z,55.937,162.623,35,7.2
1923-03-03T00:48:00.000Z,7.487,124.928,86.6,7.1
1923-03-24T19:40:00.000Z,30.553,101.258,25,7.2
1923-04-13T22:31:00.000Z,55.415,162.585,35,7.1
1923-05-04T23:26:00.000Z,55.765,-156.986,25,7.1
1923-06-02T00:24:00.000Z,35.674,141.767,35,7.1
1923-06-02T03:14:00.000Z,36,142,35,7.1
1923-06-22T13:44:00.000Z,22.589,98.681,25,7.2
1923-07-13T18:13:00.000Z,31,130.9,35,7.1
1923-09-01T09:58:00.000Z,35.405,139.084,35,7.9
1923-09-01T10:03:00.000Z,35.1,139.5,35,7.3
1923-09-02T09:46:00.000Z,34.9,140.2,35,7.6
1923-09-02T16:27:00.000Z,34.9,140.5,35,7.1
1923-09-10T05:03:00.000Z,24.943,90.32,35,7.1
1923-10-07T10:29:00.000Z,-1.201,129.486,35,7.2
1923-11-03T04:08:00.000Z,-4.653,154.232,145.1,7.2
1923-11-06T05:28:00.000Z,29.646,129.636,35,7.1
1924-01-15T04:50:00.000Z,35.5,139.2,5,7.3
1924-04-14T23:20:00.000Z,7.023,125.954,35,8.2
1924-05-04T23:51:00.000Z,-21.504,-178.441,561.9,7.2
1924-06-26T08:37:00.000Z,-56.407,158.489,15,7.7
1924-06-30T22:44:00.000Z,44.737,147.416,139.6,7.2
1924-07-03T11:40:00.000Z,36.632,83.903,35,7.1
1924-07-12T02:44:00.000Z,36.791,83.958,35,7.1
1924-08-30T10:05:00.000Z,8.645,126.531,35,7.2
1924-10-13T23:17:00.000Z,36.522,70.831,179.4,7.2
