@lat	@lon	addr:housenumber
45.5135347	-73.5718562	3556
45.5137446	-73.5723435	3590
45.5139319	-73.5724886	3597
45.5136483	-73.5718575	3547
45.5134915	-73.5715170	3527
45.5155934	-73.5708483	3536
45.5150116	-73.5695847	3458
45.5149738	-73.5694843	3456
45.5146832	-73.5688583	3408
45.5149515	-73.5692041	3421
45.5151780	-73.5697130	3455
45.5152529	-73.5698657	3459
45.5155756	-73.5705757	3503
45.5136513	-73.5690191	131
45.5137277	-73.5689734	131-A
45.5138760	-73.5688952	135
45.5135782	-73.5689327	104
45.5144116	-73.5684548	170
45.5143404	-73.5722799	17
45.5144630	-73.5721845	51
45.5148683	-73.5717840	105
45.5152053	-73.5714718	129
45.5160741	-73.5706607	217
45.5157442	-73.5709813	201
45.5156309	-73.5709338	180
45.5152296	-73.5713130	152
45.5148064	-73.5717091	102
45.5151437	-73.5714060	124
45.5143970	-73.5720767	50
45.5147288	-73.5717684	80
45.5142772	-73.5721970	14
45.5140552	-73.5688280	151
45.5145521	-73.5686157	185
45.5133115	-73.5690405	60
45.5130719	-73.5691439	52
45.5129465	-73.5691916	34
45.5125091	-73.5693506	2
45.5130245	-73.5693427	41
45.5126094	-73.5695137	1
45.5134741	-73.5699948	3445
45.5137424	-73.5695520	3428
45.5138121	-73.5694407	3423
45.5145504	-73.5710868	3527
45.5126449	-73.5696183	3435
45.5153311	-73.5683614	257
45.5153123	-73.5689687	3422
45.5159968	-73.5704815	3506
45.5161313	-73.5707764	3600
45.5171837	-73.5730721	3748
45.5155002	-73.5687632	3415
45.5158490	-73.5695652	3473
45.5159027	-73.5697277	3475
45.5159834	-73.5699129	3483
45.5161387	-73.5679613	333
45.5160782	-73.5699960	256
45.5164780	-73.5696107	294
45.5166343	-73.5694802	300
45.5169653	-73.5691761	336
45.5165535	-73.5710687	255
45.5168400	-73.5708112	287
45.5170102	-73.5706486	301
45.5173059	-73.5703688	337
45.5174606	-73.5702173	351
45.5176700	-73.5700234	373
45.5172688	-73.5726967	3725
45.5169715	-73.5720126	3673
45.5168436	-73.5717853	3659
45.5166303	-73.5712804	3625
45.5170845	-73.5709419	3621
45.5172284	-73.5711228	3631
45.5176748	-73.5721299	3719
45.5170809	-73.5712444	3636
45.5169631	-73.5711954	3630-1
45.5169529	-73.5712039	3630-2
45.5169419	-73.5712132	3632
45.5175416	-73.5722379	3704
45.5175128	-73.5723383	3706
45.5176245	-73.5724360	3720
45.5175983	-73.5723729	3716
45.5174616	-73.5705745	3626
45.5175204	-73.5707349	3630
45.5180006	-73.5718359	3714
45.5181078	-73.5716497	3719
45.5182017	-73.5719959	3745
45.5176370	-73.5706161	3637
45.5175518	-73.5705356	3629
45.5175191	-73.5704666	3627
45.5177893	-73.5703566	3638
45.5011566	-73.5586195	410
45.5010738	-73.5588094	415
45.5009579	-73.5591872	485
45.5010354	-73.5594076	495
45.5009742	-73.5597239	500
45.5010260	-73.5598537	506
45.5010781	-73.5600176	510
45.5013058	-73.5583855	446
45.5009843	-73.5576394	426
45.5010469	-73.5574603	425
45.5014226	-73.5583136	445
45.5015161	-73.5585626	455
45.5020388	-73.5597183	384
45.5013954	-73.5602150	500
45.5021173	-73.5588252	361
45.5023547	-73.5594727	360
45.5025242	-73.5592403	520
45.5023529	-73.5587617	500
45.5017368	-73.5589684	390
45.5022561	-73.5585534	354
45.5029698	-73.5602769	360
45.5019499	-73.5618810	501
45.5021238	-73.5624948	1001
45.5006751	-73.5589191	460
45.5008822	-73.5595388	488
45.5161735	-73.5584308	865
45.5103236	-73.5705366	175
45.5108595	-73.5702626	125
45.5107091	-73.5700654	100
45.5020475	-73.5593634	515
45.5019361	-73.5590482	501
45.5146174	-73.5743171	3702
45.5147520	-73.5742661	3695
45.5152114	-73.5748365	10
45.5154600	-73.5746351	28
45.5155071	-73.5745693	50
45.5158941	-73.5742481	68
45.5162022	-73.5739675	118
45.5163108	-73.5738619	120
45.5162862	-73.5741949	117
45.5161942	-73.5742833	111
45.5160645	-73.5743745	101
